[1248, 913]
[paragraph, [83.0, 82.0, 627.0, 18.0], shoonya_4sE6323E6MGW2E, 5776353]
[paragraph, [83.0, 100.0, 627.0, 18.0], shoonya_4sE6323E6MGW2E, 5776353]
[paragraph, [83.0, 118.0, 627.0, 18.0], shoonya_4sE6323E6MGW2E, 5776353]
[paragraph, [83.0, 136.0, 627.0, 18.0], shoonya_4sE6323E6MGW2E, 5776353]
[paragraph, [83.0, 160.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [83.0, 178.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [83.0, 196.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [83.0, 214.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [83.0, 232.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [83.0, 250.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [83.0, 268.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [83.0, 286.0, 630.0, 18.0], shoonya_3sPSEBCZGAIM9X, 5776353]
[paragraph, [85.0, 309.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [85.0, 327.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [85.0, 345.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [85.0, 363.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [85.0, 381.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [85.0, 399.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [85.0, 417.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [85.0, 435.0, 626.0, 18.0], shoonya_2sQHGB9SSZO2NY, 5776353]
[paragraph, [84.0, 458.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [84.0, 476.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [84.0, 494.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [84.0, 512.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [84.0, 530.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [84.0, 548.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [84.0, 566.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [84.0, 584.0, 627.0, 18.0], shoonya_1s04FWDLAUH2AR, 5776353]
[paragraph, [85.0, 615.0, 627.0, 18.0], shoonya_5sFE3F1UND0IWB, 5776353]
[paragraph, [85.0, 633.0, 627.0, 18.0], shoonya_5sFE3F1UND0IWB, 5776353]
[paragraph, [83.0, 666.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 684.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 702.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 720.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 738.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 756.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 774.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 792.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 810.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 828.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 846.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 864.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 882.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 900.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 918.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 936.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [83.0, 954.0, 630.0, 18.0], shoonya_0sN92IFV378GA3, 5776353]
[paragraph, [84.0, 978.0, 631.0, 18.0], shoonya_6s4DLDYUEXRTMR, 5776353]
[paragraph, [84.0, 996.0, 631.0, 18.0], shoonya_6s4DLDYUEXRTMR, 5776353]
[paragraph, [84.0, 1014.0, 631.0, 18.0], shoonya_6s4DLDYUEXRTMR, 5776353]
[paragraph, [84.0, 1032.0, 631.0, 18.0], shoonya_6s4DLDYUEXRTMR, 5776353]
[paragraph, [95.0, 1058.0, 622.0, 18.0], shoonya_8s1T4IPWJJ6M03, 5776353]
