[1321, 948]
[chapter-title, [387.0, 75.0, 280.0, 30.0], ImIS6I0eA-, 5775773]
[paragraph, [187.0, 118.0, 667.0, 18.0], 7ybbSo86Jr, 5775773]
[paragraph, [187.0, 136.0, 667.0, 18.0], 7ybbSo86Jr, 5775773]
[paragraph, [187.0, 154.0, 667.0, 18.0], 7ybbSo86Jr, 5775773]
[paragraph, [184.0, 174.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [184.0, 192.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [184.0, 210.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [184.0, 228.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [184.0, 246.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [184.0, 264.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [184.0, 282.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [184.0, 300.0, 671.0, 18.0], Sdf5v3maNk, 5775773]
[paragraph, [185.0, 323.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 341.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 359.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 377.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 395.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 413.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 431.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 449.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 467.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 485.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 503.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [185.0, 521.0, 673.0, 18.0], jiLzCjAFZm, 5775773]
[paragraph, [183.0, 556.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 574.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 592.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 610.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 628.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 646.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 664.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 682.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 700.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 718.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 736.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 754.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [183.0, 772.0, 678.0, 18.0], nv7nJrl7vF, 5775773]
[paragraph, [180.0, 802.0, 681.0, 18.0], KfSzdhfnki, 5775773]
[paragraph, [184.0, 830.0, 678.0, 18.0], 1LtUNgvSmR, 5775773]
[paragraph, [184.0, 848.0, 678.0, 18.0], 1LtUNgvSmR, 5775773]
[paragraph, [178.0, 873.0, 683.0, 18.0], MhrVpr6Rxd, 5775773]
[paragraph, [178.0, 891.0, 683.0, 18.0], MhrVpr6Rxd, 5775773]
[paragraph, [177.0, 930.0, 360.0, 18.0], qHpEEKxY0C, 5775773]
[paragraph, [184.0, 958.0, 678.0, 18.0], PBsiDIanaZ, 5775773]
[paragraph, [184.0, 976.0, 678.0, 18.0], PBsiDIanaZ, 5775773]
[paragraph, [184.0, 994.0, 678.0, 18.0], PBsiDIanaZ, 5775773]
[paragraph, [184.0, 1012.0, 678.0, 18.0], PBsiDIanaZ, 5775773]
[section-title, [40860.0, 8293.0, 24088.0, 30.0], shoonya_8s2FUJNEJX59AX, 5775773]
[section-title, [40860.0, 8323.0, 24088.0, 30.0], shoonya_8s2FUJNEJX59AX, 5775773]
[section-title, [40860.0, 8353.0, 24088.0, 30.0], shoonya_8s2FUJNEJX59AX, 5775773]
