[1030, 675]
[paragraph, [71.0, 107.0, 532.0, 18.0], shoonya_2sI10L3Z2W71W4, 5776342]
[paragraph, [71.0, 125.0, 532.0, 18.0], shoonya_2sI10L3Z2W71W4, 5776342]
[paragraph, [71.0, 143.0, 532.0, 18.0], shoonya_2sI10L3Z2W71W4, 5776342]
[paragraph, [71.0, 161.0, 532.0, 18.0], shoonya_2sI10L3Z2W71W4, 5776342]
[paragraph, [71.0, 188.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 206.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 224.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 242.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 260.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 278.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 296.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 314.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 332.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 350.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 368.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 386.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 404.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 422.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 440.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 458.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 476.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 494.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 512.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 530.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 548.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 566.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [71.0, 584.0, 533.0, 18.0], shoonya_1sUVB8MAYK9164, 5776342]
[paragraph, [69.0, 618.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 636.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 654.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 672.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 690.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 708.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 726.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 744.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 762.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 780.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 798.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 816.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 834.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 852.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 870.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 888.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
[paragraph, [69.0, 906.0, 537.0, 18.0], shoonya_0sNOGCOGV5ZXCA, 5776342]
