[1050, 693]
[paragraph, [76.0, 433.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 451.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 469.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 487.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 505.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 523.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 541.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 559.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 577.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 595.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [76.0, 613.0, 534.0, 18.0], shoonya_0sGXUWP4XCUHJ7, 5702669]
[paragraph, [75.0, 638.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 656.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 674.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 692.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 710.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 728.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 746.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 764.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 782.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 800.0, 536.0, 18.0], QxXmpSVkor, 5702669]
[paragraph, [75.0, 835.0, 550.0, 18.0], aklhdnq2IX, 5702669]
[paragraph, [75.0, 853.0, 550.0, 18.0], aklhdnq2IX, 5702669]
[paragraph, [75.0, 871.0, 550.0, 18.0], aklhdnq2IX, 5702669]
[paragraph, [75.0, 889.0, 550.0, 18.0], aklhdnq2IX, 5702669]
[paragraph, [75.0, 907.0, 550.0, 18.0], aklhdnq2IX, 5702669]
[paragraph, [75.0, 925.0, 550.0, 18.0], aklhdnq2IX, 5702669]
[paragraph, [75.0, 943.0, 550.0, 18.0], aklhdnq2IX, 5702669]
[paragraph, [75.0, 961.0, 550.0, 18.0], aklhdnq2IX, 5702669]
