[789, 571]
[folio, [227.0, 47.0, 101.0, 18.0], z8_JdWFFMY, 5702189]
[paragraph, [49.0, 82.0, 461.0, 18.0], shoonya_0sH23I0VAUDOLQ, 5702189]
[paragraph, [49.0, 100.0, 461.0, 18.0], shoonya_0sH23I0VAUDOLQ, 5702189]
[paragraph, [49.0, 118.0, 461.0, 18.0], shoonya_0sH23I0VAUDOLQ, 5702189]
[paragraph, [49.0, 136.0, 461.0, 18.0], shoonya_0sH23I0VAUDOLQ, 5702189]
[paragraph, [44.0, 157.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 175.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 193.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 211.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 229.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 247.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 265.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 283.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 301.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 319.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [44.0, 337.0, 466.0, 18.0], MSvJlEeiUv, 5702189]
[paragraph, [43.0, 368.0, 466.0, 18.0], YzbaUJT7Ot, 5702189]
[paragraph, [43.0, 386.0, 466.0, 18.0], YzbaUJT7Ot, 5702189]
[paragraph, [43.0, 404.0, 466.0, 18.0], YzbaUJT7Ot, 5702189]
[paragraph, [43.0, 422.0, 466.0, 18.0], YzbaUJT7Ot, 5702189]
[paragraph, [43.0, 440.0, 466.0, 18.0], YzbaUJT7Ot, 5702189]
[paragraph, [43.0, 458.0, 466.0, 18.0], YzbaUJT7Ot, 5702189]
[paragraph, [44.0, 482.0, 470.0, 18.0], tgu3cGdRgW, 5702189]
[paragraph, [44.0, 500.0, 470.0, 18.0], tgu3cGdRgW, 5702189]
[paragraph, [44.0, 518.0, 470.0, 18.0], tgu3cGdRgW, 5702189]
[paragraph, [44.0, 536.0, 470.0, 18.0], tgu3cGdRgW, 5702189]
[paragraph, [44.0, 554.0, 470.0, 18.0], tgu3cGdRgW, 5702189]
[paragraph, [45.0, 575.0, 468.0, 18.0], K9jDOrOATE, 5702189]
[paragraph, [45.0, 593.0, 468.0, 18.0], K9jDOrOATE, 5702189]
[paragraph, [45.0, 611.0, 468.0, 18.0], K9jDOrOATE, 5702189]
[paragraph, [45.0, 629.0, 468.0, 18.0], K9jDOrOATE, 5702189]
[paragraph, [45.0, 647.0, 468.0, 18.0], K9jDOrOATE, 5702189]
[paragraph, [45.0, 665.0, 468.0, 18.0], K9jDOrOATE, 5702189]
[paragraph, [45.0, 683.0, 468.0, 18.0], K9jDOrOATE, 5702189]
[paragraph, [45.0, 701.0, 468.0, 18.0], K9jDOrOATE, 5702189]
