[2334, 1650]
[paragraph, [133.0, 104.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 140.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 176.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 212.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 248.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 284.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 320.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 356.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 392.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 428.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 464.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 500.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [133.0, 536.0, 1295.0, 36.0], shoonya_0sQ0GRK7Q4IB9C, 5652881]
[paragraph, [98.0, 576.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 612.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 648.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 684.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 720.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 756.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 792.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 828.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 864.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 900.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 936.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 972.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 1008.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 1044.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 1080.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 1116.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 1152.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 1188.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [98.0, 1224.0, 1351.0, 36.0], XKaNXDRBOD, 5652881]
[paragraph, [125.0, 1271.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1307.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1343.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1379.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1415.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1451.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1487.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1523.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [125.0, 1559.0, 1345.0, 36.0], b8sXESuwx4, 5652881]
[paragraph, [111.0, 1606.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1642.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1678.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1714.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1750.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1786.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1822.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1858.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1894.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1930.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 1966.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[paragraph, [111.0, 2002.0, 1411.0, 36.0], J9wVrdYwrK, 5652881]
[folio, [1124.0, 2103.0, 131.0, 36.0], pSLbumWoG5, 5652881]
