[1387, 987]
[paragraph, [57.0, 88.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 106.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 124.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 142.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 160.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 178.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 196.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 214.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 232.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 250.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 268.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 286.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [57.0, 304.0, 868.0, 18.0], shoonya_0sU1Q8X3XE1HKV, 5652082]
[paragraph, [69.0, 336.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 354.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 372.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 390.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 408.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 426.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 444.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 462.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 480.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 498.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 516.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 534.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 552.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 570.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 588.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [69.0, 606.0, 865.0, 18.0], c2UQFCM22S, 5652082]
[paragraph, [33.0, 641.0, 930.0, 18.0], qAOEBi8qqI, 5652082]
[paragraph, [33.0, 659.0, 930.0, 18.0], qAOEBi8qqI, 5652082]
[paragraph, [33.0, 677.0, 930.0, 18.0], qAOEBi8qqI, 5652082]
