[2200, 1700]
[paragraph, [233.0, 163.0, 1161.0, 36.0], shoonya_0sPUKPH5DHEPTP, 5652471]
[paragraph, [233.0, 199.0, 1161.0, 36.0], shoonya_0sPUKPH5DHEPTP, 5652471]
[paragraph, [233.0, 235.0, 1161.0, 36.0], shoonya_0sPUKPH5DHEPTP, 5652471]
[paragraph, [265.0, 299.0, 1122.0, 36.0], 5CXnVBM6by, 5652471]
[paragraph, [265.0, 335.0, 1122.0, 36.0], 5CXnVBM6by, 5652471]
[paragraph, [265.0, 371.0, 1122.0, 36.0], 5CXnVBM6by, 5652471]
[paragraph, [235.0, 416.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 452.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 488.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 524.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 560.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 596.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 632.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 668.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 704.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 740.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 776.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 812.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 848.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 884.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [235.0, 920.0, 1137.0, 36.0], SmnObe_RzA, 5652471]
[paragraph, [219.0, 976.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [219.0, 1012.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [219.0, 1048.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [219.0, 1084.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [219.0, 1120.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [219.0, 1156.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [219.0, 1192.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [219.0, 1228.0, 1129.0, 36.0], QKX4ddMB0s, 5652471]
[paragraph, [178.0, 1291.0, 1324.0, 36.0], aqVia_8JOy, 5652471]
[paragraph, [178.0, 1327.0, 1324.0, 36.0], aqVia_8JOy, 5652471]
[paragraph, [178.0, 1363.0, 1324.0, 36.0], aqVia_8JOy, 5652471]
[paragraph, [219.0, 1420.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [219.0, 1456.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [219.0, 1492.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [219.0, 1528.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [219.0, 1564.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [219.0, 1600.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [219.0, 1636.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [219.0, 1672.0, 1150.0, 36.0], 87ckmFQhNe, 5652471]
[paragraph, [262.0, 1730.0, 1058.0, 36.0], aOLeoz3yBA, 5652471]
[paragraph, [262.0, 1766.0, 1058.0, 36.0], aOLeoz3yBA, 5652471]
[folio, [348.0, 1834.0, 123.0, 36.0], jrCS4KuG_x, 5652471]
[folio, [348.0, 1870.0, 123.0, 36.0], jrCS4KuG_x, 5652471]
