[1387, 987]
[paragraph, [63.0, 93.0, 813.0, 18.0], shoonya_0sDA7ZOTBYREKP, 5652916]
[paragraph, [63.0, 111.0, 813.0, 18.0], shoonya_0sDA7ZOTBYREKP, 5652916]
[paragraph, [63.0, 129.0, 813.0, 18.0], shoonya_0sDA7ZOTBYREKP, 5652916]
[paragraph, [63.0, 147.0, 813.0, 18.0], shoonya_0sDA7ZOTBYREKP, 5652916]
[paragraph, [63.0, 165.0, 813.0, 18.0], shoonya_0sDA7ZOTBYREKP, 5652916]
[paragraph, [63.0, 183.0, 813.0, 18.0], shoonya_0sDA7ZOTBYREKP, 5652916]
[paragraph, [72.0, 223.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 241.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 259.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 277.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 295.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 313.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 331.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 349.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 367.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 385.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 403.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 421.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 439.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 457.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 475.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 493.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 511.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 529.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 547.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 565.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 583.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 601.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 619.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 637.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 655.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 673.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 691.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 709.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 727.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 745.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 763.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 781.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 799.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 817.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 835.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 853.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 871.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 889.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [72.0, 907.0, 855.0, 18.0], 4I89HcOQw9, 5652916]
[paragraph, [56.0, 928.0, 885.0, 18.0], 1kDjpKV3l-, 5652916]
[paragraph, [56.0, 946.0, 885.0, 18.0], 1kDjpKV3l-, 5652916]
[paragraph, [56.0, 964.0, 885.0, 18.0], 1kDjpKV3l-, 5652916]
[paragraph, [56.0, 982.0, 885.0, 18.0], 1kDjpKV3l-, 5652916]
[paragraph, [56.0, 1000.0, 885.0, 18.0], 1kDjpKV3l-, 5652916]
[paragraph, [56.0, 1018.0, 885.0, 18.0], 1kDjpKV3l-, 5652916]
[paragraph, [40.0, 1050.0, 836.0, 18.0], bSMQQxpZJx, 5652916]
[paragraph, [40.0, 1068.0, 836.0, 18.0], bSMQQxpZJx, 5652916]
[paragraph, [40.0, 1086.0, 836.0, 18.0], bSMQQxpZJx, 5652916]
[paragraph, [34.0, 1114.0, 855.0, 18.0], fh_prVptjt, 5652916]
[paragraph, [34.0, 1132.0, 855.0, 18.0], fh_prVptjt, 5652916]
[paragraph, [34.0, 1150.0, 855.0, 18.0], fh_prVptjt, 5652916]
[paragraph, [25.0, 1182.0, 856.0, 18.0], eYLHe_lBp7, 5652916]
[paragraph, [25.0, 1200.0, 856.0, 18.0], eYLHe_lBp7, 5652916]
[paragraph, [25.0, 1218.0, 856.0, 18.0], eYLHe_lBp7, 5652916]
[paragraph, [25.0, 1236.0, 856.0, 18.0], eYLHe_lBp7, 5652916]
[paragraph, [25.0, 1254.0, 856.0, 18.0], eYLHe_lBp7, 5652916]
[paragraph, [25.0, 1272.0, 856.0, 18.0], eYLHe_lBp7, 5652916]
