[1387, 987]
[paragraph, [45.0, 54.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 72.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 90.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 108.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 126.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 144.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 162.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 180.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 198.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 216.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 234.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [45.0, 252.0, 868.0, 18.0], shoonya_0s26PJQ2QYN4ME, 5651916]
[paragraph, [66.0, 276.0, 846.0, 18.0], t5HNBStDuz, 5651916]
[paragraph, [66.0, 294.0, 846.0, 18.0], t5HNBStDuz, 5651916]
[paragraph, [66.0, 312.0, 846.0, 18.0], t5HNBStDuz, 5651916]
[paragraph, [66.0, 330.0, 846.0, 18.0], t5HNBStDuz, 5651916]
[paragraph, [32.0, 346.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 364.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 382.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 400.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 418.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 436.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 454.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 472.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 490.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 508.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 526.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 544.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 562.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 580.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 598.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 616.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 634.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 652.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 670.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 688.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 706.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 724.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 742.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 760.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 778.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 796.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 814.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 832.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [32.0, 850.0, 866.0, 18.0], wtBSIclYTg, 5651916]
[paragraph, [40.0, 871.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 889.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 907.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 925.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 943.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 961.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 979.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 997.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 1015.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
[paragraph, [40.0, 1033.0, 927.0, 18.0], eVP1Ob5mPe, 5651916]
