[1387, 987]
[paragraph, [85.0, 95.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 113.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 131.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 149.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 167.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 185.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 203.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 221.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 239.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 257.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 275.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 293.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [85.0, 311.0, 782.0, 18.0], shoonya_2sSWA2U3SHI6PW, 5651961]
[paragraph, [79.0, 339.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 357.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 375.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 393.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 411.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 429.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 447.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 465.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 483.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 501.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 519.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [79.0, 537.0, 809.0, 18.0], shoonya_1sKTLI9WR5YULQ, 5651961]
[paragraph, [76.0, 572.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 590.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 608.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 626.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 644.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 662.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 680.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 698.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 716.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 734.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 752.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 770.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 788.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 806.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 824.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 842.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 860.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
[paragraph, [76.0, 878.0, 816.0, 18.0], shoonya_0sNDIIAGK70JRI, 5651961]
