[507, 318]
[folio, [249.0, 5.0, 58.0, 18.0], urdGHbW5PK, 5651584]
[paragraph, [9.0, 34.0, 303.0, 18.0], shoonya_3sH4KNMJZGE546, 5651584]
[paragraph, [9.0, 52.0, 303.0, 18.0], shoonya_3sH4KNMJZGE546, 5651584]
[paragraph, [9.0, 70.0, 303.0, 18.0], shoonya_3sH4KNMJZGE546, 5651584]
[paragraph, [8.0, 95.0, 309.0, 18.0], shoonya_1sAX1Q76S03W3W, 5651584]
[paragraph, [8.0, 113.0, 309.0, 18.0], shoonya_1sAX1Q76S03W3W, 5651584]
[paragraph, [8.0, 131.0, 309.0, 18.0], shoonya_1sAX1Q76S03W3W, 5651584]
[paragraph, [8.0, 149.0, 309.0, 18.0], shoonya_1sAX1Q76S03W3W, 5651584]
[paragraph, [8.0, 167.0, 309.0, 18.0], shoonya_1sAX1Q76S03W3W, 5651584]
[paragraph, [18.0, 192.0, 299.0, 18.0], shoonya_0sS0UZUK5ACXY3, 5651584]
[paragraph, [18.0, 210.0, 299.0, 18.0], shoonya_0sS0UZUK5ACXY3, 5651584]
[paragraph, [18.0, 228.0, 299.0, 18.0], shoonya_0sS0UZUK5ACXY3, 5651584]
[paragraph, [18.0, 246.0, 299.0, 18.0], shoonya_0sS0UZUK5ACXY3, 5651584]
[paragraph, [18.0, 264.0, 299.0, 18.0], shoonya_0sS0UZUK5ACXY3, 5651584]
[paragraph, [18.0, 282.0, 299.0, 18.0], shoonya_0sS0UZUK5ACXY3, 5651584]
[paragraph, [7.0, 313.0, 305.0, 18.0], vAEW3T5K-1, 5651584]
[paragraph, [7.0, 331.0, 305.0, 18.0], vAEW3T5K-1, 5651584]
[paragraph, [20.0, 353.0, 294.0, 18.0], ybrmseFnFs, 5651584]
[paragraph, [20.0, 371.0, 294.0, 18.0], ybrmseFnFs, 5651584]
[paragraph, [20.0, 389.0, 294.0, 18.0], ybrmseFnFs, 5651584]
[paragraph, [7.0, 410.0, 310.0, 18.0], ItoMTC6VGX, 5651584]
[paragraph, [7.0, 428.0, 310.0, 18.0], ItoMTC6VGX, 5651584]
[paragraph, [7.0, 446.0, 310.0, 18.0], ItoMTC6VGX, 5651584]
