[507, 318]
[folio, [243.0, 2.0, 52.0, 18.0], shoonya_3sVWXU0P7K017X, 5652985]
[paragraph, [0.0, 29.0, 296.0, 18.0], shoonya_4s4HU5SNB4I7IK, 5652985]
[paragraph, [0.0, 47.0, 296.0, 18.0], shoonya_4s4HU5SNB4I7IK, 5652985]
[paragraph, [6.0, 71.0, 289.0, 18.0], shoonya_2sR8XDJPJM0SW1, 5652985]
[paragraph, [6.0, 89.0, 289.0, 18.0], shoonya_2sR8XDJPJM0SW1, 5652985]
[paragraph, [9.0, 110.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 128.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 146.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 164.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 182.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 200.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 218.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 236.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 254.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 272.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [9.0, 290.0, 289.0, 18.0], shoonya_1sO2ASAX99USKS, 5652985]
[paragraph, [16.0, 310.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
[paragraph, [16.0, 328.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
[paragraph, [16.0, 346.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
[paragraph, [16.0, 364.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
[paragraph, [16.0, 382.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
[paragraph, [16.0, 400.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
[paragraph, [16.0, 418.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
[paragraph, [16.0, 436.0, 286.0, 18.0], shoonya_0sBFVI7VY2H5RG, 5652985]
