[1372, 849]
[section-title, [346.0, 68.0, 146.0, 30.0], shoonya_2sELU0FJSNPHI7, 5710097]
[paragraph, [63.0, 134.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 152.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 170.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 188.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 206.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 224.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 242.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 260.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 278.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 296.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 314.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 332.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 350.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 368.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 386.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 404.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 422.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 440.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 458.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 476.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [63.0, 494.0, 721.0, 18.0], shoonya_0sZC3I32XJBTB7, 5710097]
[paragraph, [64.0, 522.0, 719.0, 18.0], shoonya_1sQROWC2MH6E8G, 5710097]
