[1298, 853]
[section-title, [66.0, 62.0, 722.0, 30.0], shoonya_2sDAV9BR2SECAQ, 5710281]
[section-title, [66.0, 92.0, 722.0, 30.0], shoonya_2sDAV9BR2SECAQ, 5710281]
[folio, [157.0, 148.0, 544.0, 18.0], wDPPXh_qrW, 5710281]
[folio, [157.0, 166.0, 544.0, 18.0], wDPPXh_qrW, 5710281]
[author, [210.0, 322.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 340.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 358.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 376.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 394.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 412.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 430.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 448.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 466.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 484.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 502.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[author, [210.0, 520.0, 442.0, 18.0], shoonya_3sL4NQNQ8Q21CM, 5710281]
[section-title, [50.0, 691.0, 739.0, 30.0], 9xUQWJQx3A, 5710281]
[contact-info, [72.0, 1111.0, 719.0, 18.0], shoonya_1sG9D4NBM63EUQ, 5710281]
[contact-info, [72.0, 1129.0, 719.0, 18.0], shoonya_1sG9D4NBM63EUQ, 5710281]
[contact-info, [72.0, 1147.0, 719.0, 18.0], shoonya_1sG9D4NBM63EUQ, 5710281]
[contact-info, [72.0, 1165.0, 719.0, 18.0], shoonya_1sG9D4NBM63EUQ, 5710281]
[contact-info, [72.0, 1183.0, 719.0, 18.0], shoonya_1sG9D4NBM63EUQ, 5710281]
[contact-info, [72.0, 1201.0, 719.0, 18.0], shoonya_1sG9D4NBM63EUQ, 5710281]
