[4767, 3325]
[folio, [328.0, 378.0, 581.0, 52.5], wRWhO0wpvw, 5709861]
[folio, [328.0, 430.5, 581.0, 52.5], wRWhO0wpvw, 5709861]
[paragraph, [230.0, 518.0, 2577.0, 52.5], shoonya_0sLA1PNKN79DA4, 5709861]
[paragraph, [230.0, 570.5, 2577.0, 52.5], shoonya_0sLA1PNKN79DA4, 5709861]
[paragraph, [230.0, 623.0, 2577.0, 52.5], shoonya_0sLA1PNKN79DA4, 5709861]
[paragraph, [230.0, 675.5, 2577.0, 52.5], shoonya_0sLA1PNKN79DA4, 5709861]
[paragraph, [230.0, 728.0, 2577.0, 52.5], shoonya_0sLA1PNKN79DA4, 5709861]
[paragraph, [230.0, 780.5, 2577.0, 52.5], shoonya_0sLA1PNKN79DA4, 5709861]
[paragraph, [230.0, 833.0, 2577.0, 52.5], shoonya_0sLA1PNKN79DA4, 5709861]
[paragraph, [272.0, 899.0, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 951.5, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 1004.0, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 1056.5, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 1109.0, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 1161.5, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 1214.0, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 1266.5, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [272.0, 1319.0, 2459.0, 52.5], aXMpQltzJ7, 5709861]
[paragraph, [162.0, 1400.0, 2610.0, 52.5], nwdzHOTil5, 5709861]
[paragraph, [162.0, 1452.5, 2610.0, 52.5], nwdzHOTil5, 5709861]
[paragraph, [162.0, 1505.0, 2610.0, 52.5], nwdzHOTil5, 5709861]
[paragraph, [162.0, 1557.5, 2610.0, 52.5], nwdzHOTil5, 5709861]
[paragraph, [162.0, 1610.0, 2610.0, 52.5], nwdzHOTil5, 5709861]
[paragraph, [162.0, 1662.5, 2610.0, 52.5], nwdzHOTil5, 5709861]
[paragraph, [195.0, 1766.0, 2543.0, 52.5], Lgbn7nc-d3, 5709861]
[paragraph, [195.0, 1818.5, 2543.0, 52.5], Lgbn7nc-d3, 5709861]
[paragraph, [195.0, 1871.0, 2543.0, 52.5], Lgbn7nc-d3, 5709861]
[paragraph, [195.0, 1923.5, 2543.0, 52.5], Lgbn7nc-d3, 5709861]
[paragraph, [195.0, 1976.0, 2543.0, 52.5], Lgbn7nc-d3, 5709861]
[paragraph, [195.0, 2028.5, 2543.0, 52.5], Lgbn7nc-d3, 5709861]
[paragraph, [207.0, 2123.0, 2497.0, 52.5], APqa-Ol5FU, 5709861]
[paragraph, [207.0, 2175.5, 2497.0, 52.5], APqa-Ol5FU, 5709861]
[paragraph, [207.0, 2228.0, 2497.0, 52.5], APqa-Ol5FU, 5709861]
[paragraph, [207.0, 2280.5, 2497.0, 52.5], APqa-Ol5FU, 5709861]
[paragraph, [203.0, 2373.0, 2485.0, 52.5], UqwiToSy6y, 5709861]
[paragraph, [203.0, 2425.5, 2485.0, 52.5], UqwiToSy6y, 5709861]
[paragraph, [203.0, 2478.0, 2485.0, 52.5], UqwiToSy6y, 5709861]
[paragraph, [203.0, 2530.5, 2485.0, 52.5], UqwiToSy6y, 5709861]
[paragraph, [203.0, 2583.0, 2485.0, 52.5], UqwiToSy6y, 5709861]
[paragraph, [203.0, 2635.5, 2485.0, 52.5], UqwiToSy6y, 5709861]
[paragraph, [236.0, 2726.0, 1816.0, 52.5], bfkaiDJjD4, 5709861]
[paragraph, [236.0, 2778.5, 1816.0, 52.5], bfkaiDJjD4, 5709861]
[paragraph, [236.0, 2831.0, 1816.0, 52.5], bfkaiDJjD4, 5709861]
[paragraph, [236.0, 2883.5, 1816.0, 52.5], bfkaiDJjD4, 5709861]
[paragraph, [295.0, 2971.0, 2373.0, 52.5], w57eLaUT4Q, 5709861]
[paragraph, [295.0, 3023.5, 2373.0, 52.5], w57eLaUT4Q, 5709861]
[paragraph, [295.0, 3076.0, 2373.0, 52.5], w57eLaUT4Q, 5709861]
[paragraph, [295.0, 3128.5, 2373.0, 52.5], w57eLaUT4Q, 5709861]
[paragraph, [477.0, 3225.0, 1334.0, 52.5], 4Ec2MOg0wC, 5709861]
[paragraph, [477.0, 3277.5, 1334.0, 52.5], 4Ec2MOg0wC, 5709861]
[paragraph, [394.0, 3337.0, 1346.0, 52.5], tKuQ4Pa4GJ, 5709861]
[paragraph, [394.0, 3389.5, 1346.0, 52.5], tKuQ4Pa4GJ, 5709861]
[paragraph, [224.0, 3466.0, 2518.0, 52.5], HtKHeVghcC, 5709861]
[paragraph, [224.0, 3518.5, 2518.0, 52.5], HtKHeVghcC, 5709861]
[paragraph, [224.0, 3571.0, 2518.0, 52.5], HtKHeVghcC, 5709861]
[paragraph, [224.0, 3623.5, 2518.0, 52.5], HtKHeVghcC, 5709861]
[quote, [157.0, 3694.0, 2535.0, 52.5], NS4ZBg_RzX, 5709861]
[quote, [157.0, 3746.5, 2535.0, 52.5], NS4ZBg_RzX, 5709861]
[quote, [157.0, 3799.0, 2535.0, 52.5], NS4ZBg_RzX, 5709861]
[quote, [157.0, 3851.5, 2535.0, 52.5], NS4ZBg_RzX, 5709861]
[paragraph, [436.0, 3952.0, 2269.0, 52.5], nhsCMXrxQ0, 5709861]
[paragraph, [436.0, 4004.5, 2269.0, 52.5], nhsCMXrxQ0, 5709861]
[folio, [2518.0, 4093.0, 166.0, 52.5], 1o41cD5Lj8, 5709861]
