[2717, 1772]
[folio, [750.0, 234.0, 189.0, 46.5], shoonya_0sZF9CCYNPW8Y3, 5721703]
[paragraph, [217.0, 344.0, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [217.0, 390.5, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [217.0, 437.0, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [217.0, 483.5, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [217.0, 530.0, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [217.0, 576.5, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [217.0, 623.0, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [217.0, 669.5, 1347.0, 46.5], shoonya_1sTKMHXGHYH81T, 5721703]
[paragraph, [205.0, 728.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 774.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 821.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 867.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 914.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 960.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1007.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1053.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1100.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1146.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1193.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1239.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1286.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1332.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1379.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1425.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1472.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1518.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1565.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1611.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1658.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1704.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1751.0, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [205.0, 1797.5, 1362.0, 46.5], GuErUmd5-k, 5721703]
[paragraph, [223.0, 1857.0, 1333.0, 46.5], xWqN5ZjEAx, 5721703]
[paragraph, [223.0, 1903.5, 1333.0, 46.5], xWqN5ZjEAx, 5721703]
[paragraph, [223.0, 1950.0, 1333.0, 46.5], xWqN5ZjEAx, 5721703]
[paragraph, [223.0, 1996.5, 1333.0, 46.5], xWqN5ZjEAx, 5721703]
[paragraph, [223.0, 2043.0, 1333.0, 46.5], xWqN5ZjEAx, 5721703]
[paragraph, [223.0, 2158.0, 1337.0, 46.5], ROACO-ifU1, 5721703]
[paragraph, [223.0, 2204.5, 1337.0, 46.5], ROACO-ifU1, 5721703]
[paragraph, [223.0, 2251.0, 1337.0, 46.5], ROACO-ifU1, 5721703]
[paragraph, [223.0, 2297.5, 1337.0, 46.5], ROACO-ifU1, 5721703]
[paragraph, [223.0, 2364.0, 1335.0, 46.5], V-6JcJEF02, 5721703]
[paragraph, [223.0, 2410.5, 1335.0, 46.5], V-6JcJEF02, 5721703]
