[2363, 1655]
[folio, [200.0, 117.0, 622.0, 36.0], 03N_umdIZd, 5720929]
[paragraph, [196.0, 213.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 249.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 285.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 321.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 357.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 393.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 429.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 465.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 501.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [196.0, 537.0, 1268.0, 36.0], D0caDTuwAv, 5720929]
[paragraph, [194.0, 622.0, 1272.0, 36.0], JFe84r89uJ, 5720929]
[paragraph, [194.0, 658.0, 1272.0, 36.0], JFe84r89uJ, 5720929]
[paragraph, [194.0, 694.0, 1272.0, 36.0], JFe84r89uJ, 5720929]
[paragraph, [194.0, 730.0, 1272.0, 36.0], JFe84r89uJ, 5720929]
[paragraph, [194.0, 766.0, 1272.0, 36.0], JFe84r89uJ, 5720929]
[paragraph, [194.0, 802.0, 1272.0, 36.0], JFe84r89uJ, 5720929]
[paragraph, [194.0, 838.0, 1272.0, 36.0], JFe84r89uJ, 5720929]
[paragraph, [188.0, 916.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 952.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 988.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 1024.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 1060.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 1096.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 1132.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 1168.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 1204.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [188.0, 1240.0, 1276.0, 36.0], UfoVMkb-HS, 5720929]
[paragraph, [194.0, 1326.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1362.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1398.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1434.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1470.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1506.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1542.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1578.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1614.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1650.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [194.0, 1686.0, 1273.0, 36.0], 4FLYVPGHwg, 5720929]
[paragraph, [190.0, 1738.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 1774.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 1810.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 1846.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 1882.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 1918.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 1954.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 1990.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [190.0, 2026.0, 1276.0, 36.0], SImXtIXB4H, 5720929]
[paragraph, [198.0, 2087.0, 1266.0, 36.0], E0_EvTlg-S, 5720929]
[paragraph, [198.0, 2123.0, 1266.0, 36.0], E0_EvTlg-S, 5720929]
[paragraph, [198.0, 2159.0, 1266.0, 36.0], E0_EvTlg-S, 5720929]
