[2481, 1654]
[section-title, [401.0, 204.0, 312.0, 52.5], n1wHnLHklu, 5721540]
[paragraph, [206.0, 312.0, 1304.0, 36.0], O3ODNzZNUH, 5721540]
[paragraph, [206.0, 348.0, 1304.0, 36.0], O3ODNzZNUH, 5721540]
[paragraph, [206.0, 384.0, 1304.0, 36.0], O3ODNzZNUH, 5721540]
[paragraph, [206.0, 420.0, 1304.0, 36.0], O3ODNzZNUH, 5721540]
[paragraph, [198.0, 480.0, 1312.0, 36.0], SyhFF6ZOqT, 5721540]
[paragraph, [198.0, 516.0, 1312.0, 36.0], SyhFF6ZOqT, 5721540]
[paragraph, [198.0, 552.0, 1312.0, 36.0], SyhFF6ZOqT, 5721540]
[paragraph, [198.0, 588.0, 1312.0, 36.0], SyhFF6ZOqT, 5721540]
[paragraph, [194.0, 637.0, 1321.0, 36.0], lJajc8-tBN, 5721540]
[paragraph, [194.0, 673.0, 1321.0, 36.0], lJajc8-tBN, 5721540]
[paragraph, [194.0, 709.0, 1321.0, 36.0], lJajc8-tBN, 5721540]
[paragraph, [194.0, 745.0, 1321.0, 36.0], lJajc8-tBN, 5721540]
[paragraph, [192.0, 794.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 830.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 866.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 902.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 938.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 974.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1010.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1046.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1082.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1118.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1154.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1190.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1226.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [192.0, 1262.0, 1325.0, 36.0], 8M4PSYoLs9, 5721540]
[paragraph, [281.0, 1318.0, 1132.0, 36.0], nOR8cjug3Y, 5721540]
[paragraph, [200.0, 1365.0, 1310.0, 36.0], 8mbzTvB3og, 5721540]
[paragraph, [200.0, 1401.0, 1310.0, 36.0], 8mbzTvB3og, 5721540]
[paragraph, [200.0, 1437.0, 1310.0, 36.0], 8mbzTvB3og, 5721540]
[paragraph, [200.0, 1473.0, 1310.0, 36.0], 8mbzTvB3og, 5721540]
[paragraph, [274.0, 1522.0, 552.0, 36.0], umH3JTRA2Q, 5721540]
[paragraph, [206.0, 1585.0, 1300.0, 36.0], e4vlq9j5Ev, 5721540]
[paragraph, [206.0, 1621.0, 1300.0, 36.0], e4vlq9j5Ev, 5721540]
[paragraph, [270.0, 1682.0, 853.0, 36.0], LeCbmmD7T3, 5721540]
[paragraph, [264.0, 1734.0, 1006.0, 36.0], IRkxrzRMDn, 5721540]
[paragraph, [206.0, 1785.0, 1310.0, 36.0], fBGgpxz4I8, 5721540]
[paragraph, [206.0, 1821.0, 1310.0, 36.0], fBGgpxz4I8, 5721540]
[paragraph, [204.0, 1889.0, 1312.0, 36.0], v2OtgfzQB5, 5721540]
[paragraph, [204.0, 1925.0, 1312.0, 36.0], v2OtgfzQB5, 5721540]
[paragraph, [281.0, 1996.0, 847.0, 36.0], oaF7h6kbag, 5721540]
[paragraph, [270.0, 2046.0, 1106.0, 36.0], kZmpToyee7, 5721540]
[paragraph, [210.0, 2098.0, 1296.0, 36.0], oYYfLSZQxZ, 5721540]
[paragraph, [210.0, 2134.0, 1296.0, 36.0], oYYfLSZQxZ, 5721540]
