[2481, 1654]
[folio, [1188.0, 106.0, 117.0, 36.0], shoonya_2s4O5W8S7LNRRI, 5721684]
[paragraph, [228.0, 220.0, 166.0, 36.0], shoonya_0s65A8L40U65PF, 5721684]
[paragraph, [167.0, 266.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [167.0, 302.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [167.0, 338.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [167.0, 374.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [167.0, 410.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [167.0, 446.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [167.0, 482.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [167.0, 518.0, 1273.0, 36.0], gOXHTu19qO, 5721684]
[paragraph, [225.0, 589.0, 599.0, 36.0], qx4-MRuv9f, 5721684]
[paragraph, [161.0, 638.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [161.0, 674.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [161.0, 710.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [161.0, 746.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [161.0, 782.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [161.0, 818.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [161.0, 854.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [161.0, 890.0, 1279.0, 36.0], ctTM4N5zSA, 5721684]
[paragraph, [163.0, 951.0, 1279.0, 36.0], tPn23G04I1, 5721684]
[paragraph, [163.0, 987.0, 1279.0, 36.0], tPn23G04I1, 5721684]
[paragraph, [163.0, 1023.0, 1279.0, 36.0], tPn23G04I1, 5721684]
[paragraph, [163.0, 1059.0, 1279.0, 36.0], tPn23G04I1, 5721684]
[paragraph, [169.0, 1106.0, 1271.0, 36.0], RXdcUhIwPA, 5721684]
[paragraph, [169.0, 1142.0, 1271.0, 36.0], RXdcUhIwPA, 5721684]
[paragraph, [169.0, 1178.0, 1271.0, 36.0], RXdcUhIwPA, 5721684]
[paragraph, [169.0, 1214.0, 1271.0, 36.0], RXdcUhIwPA, 5721684]
[paragraph, [169.0, 1250.0, 1271.0, 36.0], RXdcUhIwPA, 5721684]
[paragraph, [169.0, 1286.0, 1271.0, 36.0], RXdcUhIwPA, 5721684]
[paragraph, [169.0, 1322.0, 1271.0, 36.0], RXdcUhIwPA, 5721684]
[paragraph, [165.0, 1366.0, 1277.0, 36.0], wUFWnBt1kh, 5721684]
[paragraph, [165.0, 1402.0, 1277.0, 36.0], wUFWnBt1kh, 5721684]
[paragraph, [165.0, 1438.0, 1277.0, 36.0], wUFWnBt1kh, 5721684]
[paragraph, [165.0, 1474.0, 1277.0, 36.0], wUFWnBt1kh, 5721684]
[paragraph, [165.0, 1510.0, 1277.0, 36.0], wUFWnBt1kh, 5721684]
[paragraph, [165.0, 1546.0, 1277.0, 36.0], wUFWnBt1kh, 5721684]
[paragraph, [165.0, 1582.0, 1277.0, 36.0], wUFWnBt1kh, 5721684]
[paragraph, [229.0, 1629.0, 982.0, 36.0], mmwGW2VzSB, 5721684]
[paragraph, [167.0, 1678.0, 1277.0, 36.0], y3OID-R5I6, 5721684]
[paragraph, [167.0, 1714.0, 1277.0, 36.0], y3OID-R5I6, 5721684]
[paragraph, [167.0, 1750.0, 1277.0, 36.0], y3OID-R5I6, 5721684]
[paragraph, [167.0, 1786.0, 1277.0, 36.0], y3OID-R5I6, 5721684]
[paragraph, [171.0, 1835.0, 1254.0, 36.0], CNwYW4T6RF, 5721684]
[paragraph, [171.0, 1871.0, 1254.0, 36.0], CNwYW4T6RF, 5721684]
[paragraph, [171.0, 1937.0, 587.0, 36.0], bPsE24EvL8, 5721684]
[paragraph, [168.0, 1992.0, 1265.0, 36.0], shoonya_3sWRVBEUQZSGHH, 5721684]
[paragraph, [168.0, 2028.0, 1265.0, 36.0], shoonya_3sWRVBEUQZSGHH, 5721684]
[paragraph, [168.0, 2064.0, 1265.0, 36.0], shoonya_3sWRVBEUQZSGHH, 5721684]
[paragraph, [168.0, 2100.0, 1265.0, 36.0], shoonya_3sWRVBEUQZSGHH, 5721684]
[paragraph, [168.0, 2136.0, 1265.0, 36.0], shoonya_3sWRVBEUQZSGHH, 5721684]
