[1650, 1050]
[paragraph, [112.0, 104.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 140.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 176.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 212.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 248.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 284.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 320.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 356.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [112.0, 392.0, 827.0, 36.0], shoonya_1sWILA5GAAX5LZ, 5732160]
[paragraph, [111.0, 570.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 606.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 642.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 678.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 714.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 750.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 786.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 822.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 858.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 894.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 930.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 966.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 1002.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 1038.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 1074.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 1110.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [111.0, 1146.0, 831.0, 36.0], shoonya_0s9J42L6EDBNV1, 5732160]
[paragraph, [112.0, 1317.0, 833.0, 36.0], R-zoqNmUR-, 5732160]
[paragraph, [112.0, 1353.0, 833.0, 36.0], R-zoqNmUR-, 5732160]
[paragraph, [112.0, 1389.0, 833.0, 36.0], R-zoqNmUR-, 5732160]
[paragraph, [112.0, 1425.0, 833.0, 36.0], R-zoqNmUR-, 5732160]
[folio, [485.0, 1500.0, 141.0, 36.0], gyJD08iKNv, 5732160]
