[1948, 1214]
[folio, [186.0, 168.0, 171.0, 36.0], GPdWY25Sn5, 5732164]
[paragraph, [183.0, 315.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 351.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 387.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 423.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 459.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 495.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 531.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 567.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 603.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [183.0, 639.0, 810.0, 36.0], shoonya_1sNINW3XFTR6K9, 5732164]
[paragraph, [179.0, 799.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 835.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 871.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 907.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 943.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 979.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 1015.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 1051.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 1087.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 1123.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[paragraph, [179.0, 1159.0, 844.0, 36.0], shoonya_0sPSDCSZ110FZO, 5732164]
[section-title, [221.0, 1264.0, 110.0, 49.5], shoonya_3sGHCAUTB842VD, 5732164]
[paragraph, [187.0, 1331.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1367.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1403.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1439.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1475.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1511.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1547.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1583.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1619.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[paragraph, [187.0, 1655.0, 860.0, 36.0], zNxoXo6t41, 5732164]
[footnote, [207.0, 1722.0, 480.0, 36.0], sUcZBvSmbf, 5732164]
[footnote, [207.0, 1758.0, 480.0, 36.0], sUcZBvSmbf, 5732164]
[folio, [506.0, 1847.0, 209.0, 36.0], hQoPl5XS77, 5732164]
