[590, 396]
[paragraph, [64.0, 141.0, 306.0, 18.0], shoonya_0sXFLNYY11J527, 6512725]
[paragraph, [64.0, 159.0, 306.0, 18.0], shoonya_0sXFLNYY11J527, 6512725]
[paragraph, [64.0, 177.0, 306.0, 18.0], shoonya_0sXFLNYY11J527, 6512725]
[paragraph, [64.0, 195.0, 306.0, 18.0], shoonya_0sXFLNYY11J527, 6512725]
[paragraph, [62.0, 218.0, 301.0, 18.0], d7zjzp_See, 6512725]
[paragraph, [62.0, 236.0, 301.0, 18.0], d7zjzp_See, 6512725]
[paragraph, [66.0, 257.0, 296.0, 18.0], QeuAREqGoz, 6512725]
[paragraph, [66.0, 275.0, 296.0, 18.0], QeuAREqGoz, 6512725]
[paragraph, [66.0, 293.0, 296.0, 18.0], QeuAREqGoz, 6512725]
[paragraph, [66.0, 311.0, 296.0, 18.0], QeuAREqGoz, 6512725]
[paragraph, [66.0, 329.0, 296.0, 18.0], QeuAREqGoz, 6512725]
[paragraph, [66.0, 347.0, 296.0, 18.0], QeuAREqGoz, 6512725]
[paragraph, [66.0, 365.0, 296.0, 18.0], QeuAREqGoz, 6512725]
