[590, 396]
[paragraph, [69.0, 54.0, 293.0, 18.0], shoonya_0sBCEIR6MUIU5V, 6513462]
[paragraph, [69.0, 72.0, 293.0, 18.0], shoonya_0sBCEIR6MUIU5V, 6513462]
[paragraph, [69.0, 90.0, 293.0, 18.0], shoonya_0sBCEIR6MUIU5V, 6513462]
[paragraph, [69.0, 108.0, 293.0, 18.0], shoonya_0sBCEIR6MUIU5V, 6513462]
[paragraph, [69.0, 126.0, 293.0, 18.0], shoonya_0sBCEIR6MUIU5V, 6513462]
[paragraph, [69.0, 144.0, 293.0, 18.0], shoonya_0sBCEIR6MUIU5V, 6513462]
[paragraph, [97.0, 170.0, 249.0, 18.0], shoonya_8sCXC8C5IA62V7, 6513462]
[paragraph, [68.0, 192.0, 296.0, 18.0], shoonya_5sWW8PE5LQEOE5, 6513462]
[paragraph, [68.0, 210.0, 296.0, 18.0], shoonya_5sWW8PE5LQEOE5, 6513462]
[paragraph, [68.0, 234.0, 293.0, 18.0], shoonya_6sDR9M6BI9BEAZ, 6513462]
[paragraph, [68.0, 252.0, 293.0, 18.0], shoonya_6sDR9M6BI9BEAZ, 6513462]
[paragraph, [96.0, 276.0, 136.0, 18.0], shoonya_4sLYFMKWZSPLHR, 6513462]
[paragraph, [69.0, 297.0, 294.0, 18.0], shoonya_7sQXNJTXJPF1LZ, 6513462]
[paragraph, [69.0, 315.0, 294.0, 18.0], shoonya_7sQXNJTXJPF1LZ, 6513462]
[paragraph, [69.0, 356.0, 294.0, 18.0], shoonya_1sIPANMCK5PM8A, 6513462]
[paragraph, [69.0, 374.0, 294.0, 18.0], shoonya_1sIPANMCK5PM8A, 6513462]
[paragraph, [69.0, 392.0, 294.0, 18.0], shoonya_1sIPANMCK5PM8A, 6513462]
[paragraph, [69.0, 414.0, 295.0, 18.0], shoonya_2sBF7L4KSWZSVP, 6513462]
[paragraph, [69.0, 432.0, 295.0, 18.0], shoonya_2sBF7L4KSWZSVP, 6513462]
[paragraph, [69.0, 450.0, 295.0, 18.0], shoonya_2sBF7L4KSWZSVP, 6513462]
[paragraph, [70.0, 488.0, 292.0, 18.0], shoonya_3s159H1C2WBCUL, 6513462]
[paragraph, [70.0, 506.0, 292.0, 18.0], shoonya_3s159H1C2WBCUL, 6513462]
