[590, 396]
[paragraph, [68.0, 74.0, 295.0, 18.0], shoonya_1s6M4IEX86LC1S, 6513187]
[paragraph, [68.0, 92.0, 295.0, 18.0], shoonya_1s6M4IEX86LC1S, 6513187]
[paragraph, [68.0, 110.0, 295.0, 18.0], shoonya_1s6M4IEX86LC1S, 6513187]
[paragraph, [68.0, 151.0, 297.0, 18.0], shoonya_0sP7B6DAUVWVHD, 6513187]
[paragraph, [68.0, 169.0, 297.0, 18.0], shoonya_0sP7B6DAUVWVHD, 6513187]
[paragraph, [68.0, 187.0, 297.0, 18.0], shoonya_0sP7B6DAUVWVHD, 6513187]
[paragraph, [68.0, 205.0, 297.0, 18.0], shoonya_0sP7B6DAUVWVHD, 6513187]
[paragraph, [67.0, 228.0, 297.0, 18.0], shoonya_4sVORV2F32ECX9, 6513187]
[paragraph, [67.0, 246.0, 297.0, 18.0], shoonya_4sVORV2F32ECX9, 6513187]
[paragraph, [67.0, 264.0, 297.0, 18.0], shoonya_4sVORV2F32ECX9, 6513187]
[paragraph, [67.0, 282.0, 297.0, 18.0], shoonya_4sVORV2F32ECX9, 6513187]
[paragraph, [66.0, 321.0, 299.0, 18.0], JmNrU2ngl1, 6513187]
[paragraph, [66.0, 339.0, 299.0, 18.0], JmNrU2ngl1, 6513187]
[paragraph, [66.0, 357.0, 299.0, 18.0], JmNrU2ngl1, 6513187]
[paragraph, [67.0, 380.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[paragraph, [67.0, 398.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[paragraph, [67.0, 416.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[paragraph, [67.0, 434.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[paragraph, [67.0, 452.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[paragraph, [67.0, 470.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[paragraph, [67.0, 488.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[paragraph, [67.0, 506.0, 297.0, 18.0], 1xFg3-Q2hU, 6513187]
[folio, [282.0, 535.0, 65.0, 18.0], LzdQyxlxBS, 6513187]
