[792, 612]
[paragraph, [148.0, 157.0, 315.0, 18.0], shoonya_0sXCJL2S7QGE2B, 6513497]
[paragraph, [148.0, 175.0, 315.0, 18.0], shoonya_0sXCJL2S7QGE2B, 6513497]
[paragraph, [148.0, 193.0, 315.0, 18.0], shoonya_0sXCJL2S7QGE2B, 6513497]
[paragraph, [148.0, 211.0, 315.0, 18.0], shoonya_0sXCJL2S7QGE2B, 6513497]
[paragraph, [148.0, 229.0, 315.0, 18.0], shoonya_0sXCJL2S7QGE2B, 6513497]
[paragraph, [148.0, 247.0, 315.0, 18.0], shoonya_0sXCJL2S7QGE2B, 6513497]
[paragraph, [148.0, 265.0, 315.0, 18.0], shoonya_0sXCJL2S7QGE2B, 6513497]
[paragraph, [150.0, 372.0, 314.0, 18.0], shoonya_2sGGAKOV269EYN, 6513497]
[paragraph, [150.0, 403.0, 312.0, 18.0], shoonya_4sAX3XEJYDB3K2, 6513497]
[paragraph, [150.0, 434.0, 313.0, 18.0], shoonya_1s6C3STBVRZWIP, 6513497]
[paragraph, [150.0, 466.0, 312.0, 18.0], shoonya_3s1HTG57PVG8ZI, 6513497]
[paragraph, [150.0, 484.0, 312.0, 18.0], shoonya_3s1HTG57PVG8ZI, 6513497]
[paragraph, [150.0, 502.0, 312.0, 18.0], shoonya_3s1HTG57PVG8ZI, 6513497]
[paragraph, [148.0, 595.0, 314.0, 18.0], shoonya_8s3YPNR2OE789L, 6513497]
[paragraph, [148.0, 613.0, 314.0, 18.0], shoonya_8s3YPNR2OE789L, 6513497]
