[1238, 769]
[paragraph, [75.0, 65.0, 642.0, 18.0], shoonya_0sMKPLHWEMX089, 6469840]
[paragraph, [75.0, 83.0, 642.0, 18.0], shoonya_0sMKPLHWEMX089, 6469840]
[paragraph, [75.0, 101.0, 642.0, 18.0], shoonya_0sMKPLHWEMX089, 6469840]
[paragraph, [79.0, 134.0, 641.0, 18.0], -WU-QBw5sY, 6469840]
[paragraph, [79.0, 152.0, 641.0, 18.0], -WU-QBw5sY, 6469840]
[paragraph, [79.0, 170.0, 641.0, 18.0], -WU-QBw5sY, 6469840]
[paragraph, [79.0, 188.0, 641.0, 18.0], -WU-QBw5sY, 6469840]
[paragraph, [81.0, 226.0, 641.0, 18.0], 1h48cydbHf, 6469840]
[paragraph, [81.0, 244.0, 641.0, 18.0], 1h48cydbHf, 6469840]
[paragraph, [81.0, 262.0, 641.0, 18.0], 1h48cydbHf, 6469840]
[paragraph, [81.0, 280.0, 641.0, 18.0], 1h48cydbHf, 6469840]
[paragraph, [129.0, 320.0, 125.0, 18.0], KnMG03-t_E, 6469840]
[paragraph, [78.0, 352.0, 644.0, 18.0], f5NcYUsbEs, 6469840]
[paragraph, [78.0, 370.0, 644.0, 18.0], f5NcYUsbEs, 6469840]
[paragraph, [78.0, 388.0, 644.0, 18.0], f5NcYUsbEs, 6469840]
[paragraph, [78.0, 406.0, 644.0, 18.0], f5NcYUsbEs, 6469840]
[paragraph, [78.0, 424.0, 644.0, 18.0], f5NcYUsbEs, 6469840]
[paragraph, [123.0, 449.0, 330.0, 18.0], Skq7BGMvzZ, 6469840]
[paragraph, [74.0, 481.0, 644.0, 18.0], waA1idf0FH, 6469840]
[paragraph, [74.0, 499.0, 644.0, 18.0], waA1idf0FH, 6469840]
[paragraph, [74.0, 517.0, 644.0, 18.0], waA1idf0FH, 6469840]
[paragraph, [74.0, 535.0, 644.0, 18.0], waA1idf0FH, 6469840]
[paragraph, [74.0, 553.0, 644.0, 18.0], waA1idf0FH, 6469840]
[paragraph, [74.0, 571.0, 644.0, 18.0], waA1idf0FH, 6469840]
[paragraph, [122.0, 600.0, 99.0, 18.0], gaWRUQwCcs, 6469840]
[paragraph, [72.0, 631.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 649.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 667.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 685.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 703.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 721.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 739.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 757.0, 642.0, 18.0], NVsUXX5VQ0, 6469840]
[paragraph, [72.0, 783.0, 642.0, 18.0], CA_NS1lmvB, 6469840]
[paragraph, [72.0, 801.0, 642.0, 18.0], CA_NS1lmvB, 6469840]
[paragraph, [72.0, 819.0, 642.0, 18.0], CA_NS1lmvB, 6469840]
[paragraph, [71.0, 846.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 864.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 882.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 900.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 918.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 936.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 954.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 972.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [71.0, 990.0, 646.0, 18.0], kc1Z2fysZC, 6469840]
[paragraph, [67.0, 1026.0, 644.0, 18.0], FrnSi1Vgkm, 6469840]
[paragraph, [67.0, 1044.0, 644.0, 18.0], FrnSi1Vgkm, 6469840]
[paragraph, [67.0, 1062.0, 644.0, 18.0], FrnSi1Vgkm, 6469840]
[folio, [121.0, 1091.0, 196.0, 18.0], VU1gmYQ2yh, 6469840]
[folio, [121.0, 1109.0, 196.0, 18.0], VU1gmYQ2yh, 6469840]
