[1238, 769]
[paragraph, [69.0, 61.0, 634.0, 18.0], shoonya_4sGOJ6G9KVEV86, 6468620]
[paragraph, [69.0, 79.0, 634.0, 18.0], shoonya_4sGOJ6G9KVEV86, 6468620]
[paragraph, [69.0, 97.0, 634.0, 18.0], shoonya_4sGOJ6G9KVEV86, 6468620]
[paragraph, [69.0, 115.0, 634.0, 18.0], shoonya_4sGOJ6G9KVEV86, 6468620]
[paragraph, [69.0, 133.0, 634.0, 18.0], shoonya_4sGOJ6G9KVEV86, 6468620]
[paragraph, [113.0, 154.0, 518.0, 18.0], -PAmLw_6Lz, 6468620]
[paragraph, [71.0, 184.0, 627.0, 18.0], eqDFUTkZ7a, 6468620]
[paragraph, [71.0, 202.0, 627.0, 18.0], eqDFUTkZ7a, 6468620]
[paragraph, [71.0, 220.0, 627.0, 18.0], eqDFUTkZ7a, 6468620]
[paragraph, [71.0, 238.0, 627.0, 18.0], eqDFUTkZ7a, 6468620]
[paragraph, [70.0, 274.0, 624.0, 18.0], hnMR7XE8xF, 6468620]
[paragraph, [70.0, 292.0, 624.0, 18.0], hnMR7XE8xF, 6468620]
[paragraph, [70.0, 310.0, 624.0, 18.0], hnMR7XE8xF, 6468620]
[paragraph, [69.0, 337.0, 629.0, 18.0], rclb30ky7w, 6468620]
[paragraph, [69.0, 355.0, 629.0, 18.0], rclb30ky7w, 6468620]
[paragraph, [69.0, 373.0, 629.0, 18.0], rclb30ky7w, 6468620]
[paragraph, [68.0, 396.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 414.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 432.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 450.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 468.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 486.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 504.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 522.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 540.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 558.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 576.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 594.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [68.0, 612.0, 629.0, 18.0], 2LXjglrG_K, 6468620]
[paragraph, [118.0, 635.0, 477.0, 18.0], dDCj0HcHOW, 6468620]
[paragraph, [74.0, 665.0, 623.0, 18.0], -F0ZCcjOGc, 6468620]
[paragraph, [74.0, 683.0, 623.0, 18.0], -F0ZCcjOGc, 6468620]
[paragraph, [74.0, 701.0, 623.0, 18.0], -F0ZCcjOGc, 6468620]
[paragraph, [68.0, 721.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 739.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 757.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 775.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 793.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 811.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 829.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 847.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 865.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 883.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 901.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 919.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 937.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 955.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 973.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 991.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 1009.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 1027.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[paragraph, [68.0, 1045.0, 627.0, 18.0], 1Pb9KuQDoO, 6468620]
[folio, [111.0, 1094.0, 195.0, 18.0], 3gTCI3yn7Q, 6468620]
