[1646, 1092]
[paragraph, [111.0, 120.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 156.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 192.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 228.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 264.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 300.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 336.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 372.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 408.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 444.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 480.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 516.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 552.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 588.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 624.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 660.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 696.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [111.0, 732.0, 863.0, 36.0], shoonya_1sP7ATMOOAL8OZ, 6468659]
[paragraph, [112.0, 774.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 810.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 846.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 882.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 918.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 954.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 990.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1026.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1062.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1098.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1134.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1170.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1206.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1242.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1278.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1314.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
[paragraph, [112.0, 1350.0, 863.0, 36.0], shoonya_0s6MMZ4K0PDSS4, 6468659]
