[1250, 770]
[reference, [38.0, 73.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 91.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 109.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 127.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 145.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 163.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 181.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 199.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 217.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 235.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 253.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 271.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 289.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 307.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 325.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 343.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 361.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 379.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 397.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 415.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 433.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 451.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 469.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 487.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 505.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 523.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 541.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 559.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 577.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 595.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 613.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 631.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 649.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 667.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 685.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 703.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 721.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 739.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 757.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 775.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 793.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 811.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 829.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 847.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 865.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 883.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 901.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 919.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 937.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 955.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 973.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 991.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1009.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1027.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1045.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1063.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1081.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1099.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1117.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[reference, [38.0, 1135.0, 673.0, 18.0], shoonya_0sWLHJ1TRLAGMQ, 6469702]
[folio, [536.0, 1189.0, 150.0, 18.0], _NIWHZTw5U, 6469702]
