[1004, 621]
[paragraph, [37.0, 98.0, 548.0, 18.0], 2PXqTHsa7j, 5740989]
[paragraph, [37.0, 116.0, 548.0, 18.0], 2PXqTHsa7j, 5740989]
[paragraph, [37.0, 134.0, 548.0, 18.0], 2PXqTHsa7j, 5740989]
[paragraph, [37.0, 152.0, 548.0, 18.0], 2PXqTHsa7j, 5740989]
[paragraph, [35.0, 185.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 203.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 221.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 239.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 257.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 275.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 293.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 311.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 329.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 347.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 365.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 383.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 401.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 419.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 437.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 455.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 473.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 491.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 509.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 527.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 545.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 563.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 581.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 599.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 617.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 635.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 653.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [35.0, 671.0, 557.0, 18.0], 1eF33lTrEC, 5740989]
[paragraph, [85.0, 702.0, 452.0, 18.0], 8oc9a3BxfD, 5740989]
[paragraph, [85.0, 720.0, 452.0, 18.0], 8oc9a3BxfD, 5740989]
[paragraph, [92.0, 747.0, 304.0, 18.0], 8COP4L1XHn, 5740989]
[paragraph, [92.0, 765.0, 304.0, 18.0], 8COP4L1XHn, 5740989]
[paragraph, [134.0, 802.0, 336.0, 18.0], FiqgXv2CDm, 5740989]
[paragraph, [134.0, 820.0, 336.0, 18.0], FiqgXv2CDm, 5740989]
[paragraph, [134.0, 838.0, 336.0, 18.0], FiqgXv2CDm, 5740989]
[paragraph, [134.0, 856.0, 336.0, 18.0], FiqgXv2CDm, 5740989]
[paragraph, [135.0, 883.0, 337.0, 18.0], uDVqkxPY6z, 5740989]
[paragraph, [135.0, 901.0, 337.0, 18.0], uDVqkxPY6z, 5740989]
[paragraph, [135.0, 919.0, 337.0, 18.0], uDVqkxPY6z, 5740989]
[paragraph, [135.0, 937.0, 337.0, 18.0], uDVqkxPY6z, 5740989]
