[1004, 650]
[headline, [152.0, 46.0, 328.0, 25.5], shoonya_2s6TKGJDJ5LWEZ, 5740518]
[headline, [152.0, 71.5, 328.0, 25.5], shoonya_2s6TKGJDJ5LWEZ, 5740518]
[author, [108.0, 236.0, 429.0, 18.0], RS3ltVPP-S, 5740518]
[author, [108.0, 254.0, 429.0, 18.0], RS3ltVPP-S, 5740518]
[author, [108.0, 272.0, 429.0, 18.0], RS3ltVPP-S, 5740518]
[author, [108.0, 290.0, 429.0, 18.0], RS3ltVPP-S, 5740518]
[contact-info, [117.0, 743.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 761.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 779.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 797.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 815.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 833.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 851.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 869.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 887.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 905.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 923.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[contact-info, [117.0, 941.0, 454.0, 18.0], shoonya_1s47LDV9SRPEGU, 5740518]
[footnote, [348.0, 968.0, 248.0, 18.0], Gmxiy6bnTp, 5740518]
