[1152, 739]
[paragraph, [92.0, 178.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 196.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 214.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 232.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 250.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 268.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 286.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 304.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 322.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 340.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [92.0, 358.0, 544.0, 18.0], xg-VIQwWNf, 5740621]
[paragraph, [98.0, 389.0, 546.0, 18.0], wrl-UN_bsO, 5740621]
[paragraph, [98.0, 407.0, 546.0, 18.0], wrl-UN_bsO, 5740621]
[paragraph, [98.0, 425.0, 546.0, 18.0], wrl-UN_bsO, 5740621]
[paragraph, [98.0, 443.0, 546.0, 18.0], wrl-UN_bsO, 5740621]
[paragraph, [151.0, 466.0, 171.0, 18.0], L7OqEIzd_4, 5740621]
[paragraph, [87.0, 505.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 523.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 541.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 559.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 577.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 595.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 613.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 631.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 649.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 667.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 685.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 703.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 721.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 739.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 757.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 775.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 793.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 811.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 829.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 847.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 865.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 883.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 901.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 919.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 937.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 955.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 973.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 991.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[paragraph, [87.0, 1009.0, 549.0, 18.0], SFejyRCkoV, 5740621]
[footnote, [425.0, 1114.0, 256.0, 18.0], xh6-TSOWVd, 5740621]
