[1606, 1006]
[paragraph, [62.0, 65.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 101.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 137.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 173.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 209.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 245.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 281.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 317.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 353.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [62.0, 389.0, 891.0, 36.0], shoonya_2s2KXYBSIBR00E, 5750608]
[paragraph, [65.0, 462.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 498.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 534.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 570.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 606.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 642.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 678.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 714.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 750.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 786.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 822.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[paragraph, [65.0, 858.0, 887.0, 36.0], shoonya_1sPFW1OC1LKHR9, 5750608]
[ordered-list, [66.0, 892.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 928.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 964.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1000.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1036.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1072.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1108.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1144.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1180.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1216.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1252.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1288.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1324.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1360.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1396.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1432.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1468.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1504.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
[ordered-list, [66.0, 1540.0, 913.0, 36.0], shoonya_0sA40U3IG7WSQ8, 5750608]
