[1606, 1006]
[folio, [751.0, 64.0, 195.0, 36.0], JkSF3hNkwG, 5751311]
[ordered-list, [111.0, 121.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 157.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 193.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 229.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 265.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 301.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 337.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 373.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[ordered-list, [111.0, 409.0, 837.0, 36.0], shoonya_2sW04SXSK069V7, 5751311]
[paragraph, [101.0, 487.0, 536.0, 36.0], shoonya_6s089OTVZ0J9A7, 5751311]
[ordered-list, [104.0, 537.0, 852.0, 36.0], shoonya_5s2QV2CXBVRH02, 5751311]
[ordered-list, [104.0, 573.0, 852.0, 36.0], shoonya_5s2QV2CXBVRH02, 5751311]
[ordered-list, [104.0, 609.0, 852.0, 36.0], shoonya_5s2QV2CXBVRH02, 5751311]
[ordered-list, [104.0, 645.0, 852.0, 36.0], shoonya_5s2QV2CXBVRH02, 5751311]
[paragraph, [109.0, 670.0, 783.0, 36.0], uzOfih5bv1, 5751311]
[paragraph, [109.0, 706.0, 783.0, 36.0], uzOfih5bv1, 5751311]
[paragraph, [109.0, 742.0, 783.0, 36.0], uzOfih5bv1, 5751311]
[sub-section-title, [387.0, 770.0, 234.0, 36.0], 3hM6Jr2HBn, 5751311]
[paragraph, [60.0, 822.0, 887.0, 36.0], shoonya_0sSOCT5X9Y6BK7, 5751311]
[paragraph, [60.0, 858.0, 887.0, 36.0], shoonya_0sSOCT5X9Y6BK7, 5751311]
[paragraph, [60.0, 894.0, 887.0, 36.0], shoonya_0sSOCT5X9Y6BK7, 5751311]
[paragraph, [60.0, 930.0, 887.0, 36.0], shoonya_0sSOCT5X9Y6BK7, 5751311]
[paragraph, [60.0, 966.0, 887.0, 36.0], shoonya_0sSOCT5X9Y6BK7, 5751311]
[paragraph, [60.0, 1002.0, 887.0, 36.0], shoonya_0sSOCT5X9Y6BK7, 5751311]
[paragraph, [60.0, 1038.0, 887.0, 36.0], shoonya_0sSOCT5X9Y6BK7, 5751311]
[paragraph, [135.0, 1085.0, 752.0, 36.0], shoonya_4sPRWXFPC45EVP, 5751311]
[paragraph, [135.0, 1121.0, 752.0, 36.0], shoonya_4sPRWXFPC45EVP, 5751311]
[paragraph, [135.0, 1157.0, 752.0, 36.0], shoonya_4sPRWXFPC45EVP, 5751311]
[paragraph, [135.0, 1193.0, 752.0, 36.0], shoonya_4sPRWXFPC45EVP, 5751311]
[paragraph, [135.0, 1229.0, 752.0, 36.0], shoonya_4sPRWXFPC45EVP, 5751311]
[paragraph, [135.0, 1265.0, 752.0, 36.0], shoonya_4sPRWXFPC45EVP, 5751311]
[paragraph, [60.0, 1316.0, 890.0, 36.0], shoonya_1sEM2PMBK7SMGY, 5751311]
[paragraph, [60.0, 1352.0, 890.0, 36.0], shoonya_1sEM2PMBK7SMGY, 5751311]
[paragraph, [60.0, 1388.0, 890.0, 36.0], shoonya_1sEM2PMBK7SMGY, 5751311]
[paragraph, [60.0, 1424.0, 890.0, 36.0], shoonya_1sEM2PMBK7SMGY, 5751311]
[paragraph, [60.0, 1460.0, 890.0, 36.0], shoonya_1sEM2PMBK7SMGY, 5751311]
[paragraph, [60.0, 1496.0, 890.0, 36.0], shoonya_1sEM2PMBK7SMGY, 5751311]
