[1606, 1006]
[paragraph, [156.0, 178.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 214.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 250.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 286.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 322.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 358.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 394.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 430.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 466.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 502.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[paragraph, [156.0, 538.0, 692.0, 36.0], shoonya_1sUQJYO6RV56YD, 5751286]
[section-title, [423.0, 573.0, 173.0, 49.5], L8Po5kQ8l7, 5751286]
[paragraph, [37.0, 615.0, 917.0, 36.0], 893V8awzXD, 5751286]
[paragraph, [37.0, 651.0, 917.0, 36.0], 893V8awzXD, 5751286]
[paragraph, [37.0, 687.0, 917.0, 36.0], 893V8awzXD, 5751286]
[paragraph, [37.0, 723.0, 917.0, 36.0], 893V8awzXD, 5751286]
[paragraph, [37.0, 759.0, 917.0, 36.0], 893V8awzXD, 5751286]
[paragraph, [37.0, 795.0, 917.0, 36.0], 893V8awzXD, 5751286]
[paragraph, [37.0, 831.0, 917.0, 36.0], 893V8awzXD, 5751286]
[ordered-list, [90.0, 877.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 913.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 949.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 985.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1021.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1057.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1093.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1129.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1165.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1201.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1237.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1273.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1309.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1345.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1381.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
[ordered-list, [90.0, 1417.0, 871.0, 36.0], LbTyNIFjpm, 5751286]
