[2339, 1654]
[folio, [1295.0, 70.0, 250.0, 36.0], 5AU4GYPD1p, 5750676]
[paragraph, [262.0, 117.0, 525.0, 36.0], ogMeIUzW0g, 5750676]
[reference, [1008.0, 203.0, 377.0, 36.0], shoonya_1s4A6PXNB7KNFJ, 5750676]
[paragraph, [97.0, 254.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 290.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 326.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 362.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 398.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 434.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 470.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 506.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 542.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 578.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 614.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 650.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 686.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 722.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 758.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 794.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 830.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 866.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 902.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 938.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 974.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1010.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1046.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1082.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1118.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1154.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1190.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1226.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
[paragraph, [97.0, 1262.0, 1458.0, 36.0], shoonya_0sI9LLWA7EQJ7B, 5750676]
