[2339, 1654]
[folio, [89.0, 41.0, 340.0, 36.0], CCFh5m01EM, 5750716]
[paragraph, [101.0, 91.0, 1465.0, 36.0], shoonya_1sUAU2YZXLOX3D, 5750716]
[paragraph, [101.0, 127.0, 1465.0, 36.0], shoonya_1sUAU2YZXLOX3D, 5750716]
[paragraph, [101.0, 163.0, 1465.0, 36.0], shoonya_1sUAU2YZXLOX3D, 5750716]
[paragraph, [101.0, 199.0, 1465.0, 36.0], shoonya_1sUAU2YZXLOX3D, 5750716]
[paragraph, [101.0, 235.0, 1465.0, 36.0], shoonya_1sUAU2YZXLOX3D, 5750716]
[paragraph, [78.0, 287.0, 1484.0, 36.0], knaQGSmHEc, 5750716]
[paragraph, [78.0, 323.0, 1484.0, 36.0], knaQGSmHEc, 5750716]
[paragraph, [78.0, 359.0, 1484.0, 36.0], knaQGSmHEc, 5750716]
[paragraph, [78.0, 395.0, 1484.0, 36.0], knaQGSmHEc, 5750716]
[paragraph, [78.0, 431.0, 1484.0, 36.0], knaQGSmHEc, 5750716]
[paragraph, [78.0, 467.0, 1484.0, 36.0], knaQGSmHEc, 5750716]
[paragraph, [78.0, 503.0, 1484.0, 36.0], knaQGSmHEc, 5750716]
[paragraph, [96.0, 553.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 589.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 625.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 661.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 697.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 733.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 769.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 805.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 841.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 877.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 913.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 949.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 985.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 1021.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 1057.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 1093.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 1129.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
[paragraph, [96.0, 1165.0, 1470.0, 36.0], shoonya_0s134W3V1EJVQ7, 5750716]
