[2339, 1654]
[folio, [120.0, 63.0, 409.0, 36.0], shoonya_3s9DSJJYTH4RXY, 5750938]
[paragraph, [246.0, 116.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 152.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 188.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 224.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 260.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 296.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 332.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 368.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[paragraph, [246.0, 404.0, 1166.0, 36.0], qNfBLNPJNb, 5750938]
[reference, [1187.0, 457.0, 226.0, 36.0], shoonya_2sNYFZVUFNTZIM, 5750938]
[paragraph, [110.0, 500.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 536.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 572.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 608.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 644.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 680.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 716.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 752.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
[paragraph, [110.0, 788.0, 1463.0, 36.0], shoonya_0sQQUWD1R7P7MI, 5750938]
