[2339, 1654]
[folio, [152.0, 55.0, 403.0, 36.0], shoonya_3sQJF5PNEQTZ5Q, 5750701]
[paragraph, [149.0, 85.0, 1457.0, 36.0], shoonya_4sQRL5L0DNPOMI, 5750701]
[paragraph, [149.0, 121.0, 1457.0, 36.0], shoonya_4sQRL5L0DNPOMI, 5750701]
[paragraph, [149.0, 157.0, 1457.0, 36.0], shoonya_4sQRL5L0DNPOMI, 5750701]
[paragraph, [149.0, 193.0, 1457.0, 36.0], shoonya_4sQRL5L0DNPOMI, 5750701]
[paragraph, [148.0, 237.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 273.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 309.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 345.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 381.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 417.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 453.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 489.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 525.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 561.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 597.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 633.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 669.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 705.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 741.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 777.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 813.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 849.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 885.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 921.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [148.0, 957.0, 1446.0, 36.0], shoonya_1sBXX264GXRWCJ, 5750701]
[paragraph, [280.0, 1002.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1038.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1074.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1110.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1146.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1182.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1218.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1254.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1290.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1326.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1362.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1398.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[paragraph, [280.0, 1434.0, 1196.0, 36.0], RNbyIHm0L8, 5750701]
[reference, [975.0, 1472.0, 475.0, 36.0], shoonya_2s89NYJ04RZ1V7, 5750701]
[paragraph, [162.0, 1542.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1578.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1614.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1650.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1686.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1722.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1758.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1794.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1830.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1866.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1902.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1938.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
[paragraph, [162.0, 1974.0, 1462.0, 36.0], shoonya_0sWV6Z77E95CDP, 5750701]
