[543, 360]
[folio, [128.0, 42.0, 80.0, 18.0], RaPE3hqceJ, 6458272]
[paragraph, [15.0, 59.0, 309.0, 18.0], 8S-0FC_L0s, 6458272]
[paragraph, [15.0, 77.0, 309.0, 18.0], 8S-0FC_L0s, 6458272]
[paragraph, [12.0, 93.0, 312.0, 18.0], eWU2dRDdYx, 6458272]
[paragraph, [12.0, 111.0, 312.0, 18.0], eWU2dRDdYx, 6458272]
[paragraph, [10.0, 125.0, 313.0, 18.0], e4lLu6i877, 6458272]
[paragraph, [10.0, 143.0, 313.0, 18.0], e4lLu6i877, 6458272]
[paragraph, [14.0, 160.0, 308.0, 18.0], XRpEKzygX9, 6458272]
[paragraph, [14.0, 178.0, 308.0, 18.0], XRpEKzygX9, 6458272]
[paragraph, [12.0, 193.0, 310.0, 18.0], neQ2JUJ67a, 6458272]
[paragraph, [16.0, 224.0, 305.0, 18.0], yYU4N2Fpo8, 6458272]
[paragraph, [16.0, 242.0, 305.0, 18.0], yYU4N2Fpo8, 6458272]
[paragraph, [14.0, 257.0, 306.0, 18.0], rF8xD3CzIT, 6458272]
[paragraph, [14.0, 275.0, 306.0, 18.0], rF8xD3CzIT, 6458272]
[paragraph, [12.0, 289.0, 308.0, 18.0], AciCB0NP5P, 6458272]
[paragraph, [12.0, 307.0, 308.0, 18.0], AciCB0NP5P, 6458272]
[paragraph, [13.0, 323.0, 307.0, 18.0], JZXjlFPTN7, 6458272]
[paragraph, [13.0, 341.0, 307.0, 18.0], JZXjlFPTN7, 6458272]
[paragraph, [12.0, 357.0, 304.0, 18.0], XoUH_9B0Ap, 6458272]
[paragraph, [12.0, 375.0, 304.0, 18.0], XoUH_9B0Ap, 6458272]
[paragraph, [12.0, 389.0, 306.0, 18.0], pcgzbq5Xk1, 6458272]
[paragraph, [12.0, 407.0, 306.0, 18.0], pcgzbq5Xk1, 6458272]
[paragraph, [12.0, 419.0, 304.0, 18.0], kxacLxpbFU, 6458272]
[paragraph, [11.0, 452.0, 301.0, 18.0], ie7cESdEye, 6458272]
[paragraph, [11.0, 470.0, 301.0, 18.0], ie7cESdEye, 6458272]
[paragraph, [9.0, 484.0, 306.0, 18.0], sUAcj5uZw9, 6458272]
[paragraph, [9.0, 502.0, 306.0, 18.0], sUAcj5uZw9, 6458272]
