[1350, 900]
[section-title, [226.0, 111.0, 472.0, 30.0], lNynd7_JBI, 5760395]
[ordered-list, [481.0, 1084.0, 198.0, 18.0], shoonya_2sE6A1BT0QQK4X, 5760395]
[ordered-list, [481.0, 1102.0, 198.0, 18.0], shoonya_2sE6A1BT0QQK4X, 5760395]
[ordered-list, [481.0, 1120.0, 198.0, 18.0], shoonya_2sE6A1BT0QQK4X, 5760395]
[ordered-list, [481.0, 1138.0, 198.0, 18.0], shoonya_2sE6A1BT0QQK4X, 5760395]
[ordered-list, [481.0, 1156.0, 198.0, 18.0], shoonya_2sE6A1BT0QQK4X, 5760395]
[ordered-list, [481.0, 1174.0, 198.0, 18.0], shoonya_2sE6A1BT0QQK4X, 5760395]
[ordered-list, [157.0, 1086.0, 303.0, 18.0], shoonya_1sD1MRLOXG8WX6, 5760395]
[ordered-list, [157.0, 1104.0, 303.0, 18.0], shoonya_1sD1MRLOXG8WX6, 5760395]
[ordered-list, [157.0, 1122.0, 303.0, 18.0], shoonya_1sD1MRLOXG8WX6, 5760395]
[ordered-list, [157.0, 1140.0, 303.0, 18.0], shoonya_1sD1MRLOXG8WX6, 5760395]
[ordered-list, [157.0, 1158.0, 303.0, 18.0], shoonya_1sD1MRLOXG8WX6, 5760395]
[ordered-list, [157.0, 1176.0, 303.0, 18.0], shoonya_1sD1MRLOXG8WX6, 5760395]
