[1755, 1241]
[folio, [186.0, 190.0, 274.0, 36.0], FFx6eILVp9, 5760397]
[paragraph, [173.0, 265.0, 863.0, 36.0], shoonya_0s5Z6129GXPLG7, 5760397]
[paragraph, [173.0, 301.0, 863.0, 36.0], shoonya_0s5Z6129GXPLG7, 5760397]
[paragraph, [173.0, 337.0, 863.0, 36.0], shoonya_0s5Z6129GXPLG7, 5760397]
[paragraph, [173.0, 373.0, 863.0, 36.0], shoonya_0s5Z6129GXPLG7, 5760397]
[paragraph, [178.0, 418.0, 857.0, 36.0], pe1D9k-J27, 5760397]
[paragraph, [178.0, 454.0, 857.0, 36.0], pe1D9k-J27, 5760397]
[paragraph, [178.0, 490.0, 857.0, 36.0], pe1D9k-J27, 5760397]
[paragraph, [178.0, 526.0, 857.0, 36.0], pe1D9k-J27, 5760397]
[paragraph, [178.0, 562.0, 857.0, 36.0], pe1D9k-J27, 5760397]
[paragraph, [178.0, 598.0, 857.0, 36.0], pe1D9k-J27, 5760397]
[paragraph, [176.0, 639.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 675.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 711.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 747.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 783.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 819.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 855.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 891.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [176.0, 927.0, 856.0, 36.0], TsjEodZcFx, 5760397]
[paragraph, [169.0, 985.0, 864.0, 36.0], gBQ2LGEwYF, 5760397]
[paragraph, [169.0, 1021.0, 864.0, 36.0], gBQ2LGEwYF, 5760397]
[paragraph, [169.0, 1057.0, 864.0, 36.0], gBQ2LGEwYF, 5760397]
[paragraph, [169.0, 1093.0, 864.0, 36.0], gBQ2LGEwYF, 5760397]
[paragraph, [169.0, 1129.0, 864.0, 36.0], gBQ2LGEwYF, 5760397]
[paragraph, [170.0, 1168.0, 862.0, 36.0], QnxmigUKO_, 5760397]
[paragraph, [170.0, 1204.0, 862.0, 36.0], QnxmigUKO_, 5760397]
[paragraph, [170.0, 1240.0, 862.0, 36.0], QnxmigUKO_, 5760397]
[paragraph, [170.0, 1276.0, 862.0, 36.0], QnxmigUKO_, 5760397]
[paragraph, [170.0, 1312.0, 862.0, 36.0], QnxmigUKO_, 5760397]
[paragraph, [170.0, 1348.0, 862.0, 36.0], QnxmigUKO_, 5760397]
[paragraph, [170.0, 1384.0, 862.0, 36.0], QnxmigUKO_, 5760397]
[paragraph, [166.0, 1431.0, 862.0, 36.0], shoonya_2sUCPV2WOWB88H, 5760397]
[paragraph, [166.0, 1467.0, 862.0, 36.0], shoonya_2sUCPV2WOWB88H, 5760397]
[paragraph, [166.0, 1503.0, 862.0, 36.0], shoonya_2sUCPV2WOWB88H, 5760397]
[paragraph, [166.0, 1539.0, 862.0, 36.0], shoonya_2sUCPV2WOWB88H, 5760397]
