[1755, 1241]
[folio, [182.0, 108.0, 441.0, 36.0], SGRSd9JEmz, 5760127]
[paragraph, [252.0, 175.0, 641.0, 36.0], shoonya_0s63Y36PIX7LHR, 5760127]
[paragraph, [252.0, 211.0, 641.0, 36.0], shoonya_0s63Y36PIX7LHR, 5760127]
[paragraph, [252.0, 247.0, 641.0, 36.0], shoonya_0s63Y36PIX7LHR, 5760127]
[paragraph, [252.0, 283.0, 641.0, 36.0], shoonya_0s63Y36PIX7LHR, 5760127]
[paragraph, [252.0, 319.0, 641.0, 36.0], shoonya_0s63Y36PIX7LHR, 5760127]
[paragraph, [252.0, 355.0, 641.0, 36.0], shoonya_0s63Y36PIX7LHR, 5760127]
[paragraph, [252.0, 391.0, 641.0, 36.0], shoonya_0s63Y36PIX7LHR, 5760127]
[paragraph, [175.0, 434.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 470.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 506.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 542.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 578.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 614.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 650.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 686.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 722.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 758.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 794.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [175.0, 830.0, 824.0, 36.0], -vbVpE0v1U, 5760127]
[paragraph, [181.0, 886.0, 811.0, 36.0], yePkdM7Ec7, 5760127]
[paragraph, [181.0, 922.0, 811.0, 36.0], yePkdM7Ec7, 5760127]
[paragraph, [176.0, 973.0, 814.0, 36.0], HjqfOneNr0, 5760127]
[paragraph, [176.0, 1009.0, 814.0, 36.0], HjqfOneNr0, 5760127]
[paragraph, [176.0, 1045.0, 814.0, 36.0], HjqfOneNr0, 5760127]
[paragraph, [176.0, 1081.0, 814.0, 36.0], HjqfOneNr0, 5760127]
[paragraph, [176.0, 1117.0, 814.0, 36.0], HjqfOneNr0, 5760127]
[paragraph, [178.0, 1164.0, 818.0, 36.0], l3pSECyX44, 5760127]
[paragraph, [178.0, 1200.0, 818.0, 36.0], l3pSECyX44, 5760127]
[paragraph, [178.0, 1236.0, 818.0, 36.0], l3pSECyX44, 5760127]
[paragraph, [178.0, 1272.0, 818.0, 36.0], l3pSECyX44, 5760127]
[paragraph, [178.0, 1308.0, 818.0, 36.0], l3pSECyX44, 5760127]
[paragraph, [175.0, 1355.0, 825.0, 36.0], SvUbB-ncSU, 5760127]
[paragraph, [175.0, 1391.0, 825.0, 36.0], SvUbB-ncSU, 5760127]
[paragraph, [175.0, 1427.0, 825.0, 36.0], SvUbB-ncSU, 5760127]
[paragraph, [175.0, 1463.0, 825.0, 36.0], SvUbB-ncSU, 5760127]
[paragraph, [175.0, 1499.0, 825.0, 36.0], SvUbB-ncSU, 5760127]
[paragraph, [176.0, 1545.0, 830.0, 36.0], k-sCdmLlfl, 5760127]
[paragraph, [176.0, 1581.0, 830.0, 36.0], k-sCdmLlfl, 5760127]
[paragraph, [176.0, 1617.0, 830.0, 36.0], k-sCdmLlfl, 5760127]
