[1755, 1241]
[folio, [223.0, 62.0, 414.0, 36.0], rfSwcnjrpS, 5760521]
[paragraph, [222.0, 126.0, 806.0, 36.0], shoonya_1s16H8B64CPZD4, 5760521]
[paragraph, [222.0, 162.0, 806.0, 36.0], shoonya_1s16H8B64CPZD4, 5760521]
[paragraph, [222.0, 198.0, 806.0, 36.0], shoonya_1s16H8B64CPZD4, 5760521]
[paragraph, [222.0, 234.0, 806.0, 36.0], shoonya_1s16H8B64CPZD4, 5760521]
[paragraph, [222.0, 270.0, 806.0, 36.0], shoonya_1s16H8B64CPZD4, 5760521]
[paragraph, [222.0, 317.0, 806.0, 36.0], shoonya_2s7PHHBZBVKU7N, 5760521]
[paragraph, [222.0, 353.0, 806.0, 36.0], shoonya_2s7PHHBZBVKU7N, 5760521]
[paragraph, [222.0, 389.0, 806.0, 36.0], shoonya_2s7PHHBZBVKU7N, 5760521]
[paragraph, [222.0, 425.0, 806.0, 36.0], shoonya_2s7PHHBZBVKU7N, 5760521]
[paragraph, [222.0, 461.0, 806.0, 36.0], shoonya_2s7PHHBZBVKU7N, 5760521]
[paragraph, [222.0, 497.0, 806.0, 36.0], shoonya_2s7PHHBZBVKU7N, 5760521]
[paragraph, [220.0, 538.0, 808.0, 36.0], CUd2h5caCy, 5760521]
[paragraph, [220.0, 574.0, 808.0, 36.0], CUd2h5caCy, 5760521]
[paragraph, [220.0, 610.0, 808.0, 36.0], CUd2h5caCy, 5760521]
[paragraph, [220.0, 646.0, 808.0, 36.0], CUd2h5caCy, 5760521]
[paragraph, [220.0, 682.0, 808.0, 36.0], CUd2h5caCy, 5760521]
[paragraph, [220.0, 718.0, 808.0, 36.0], CUd2h5caCy, 5760521]
[paragraph, [218.0, 763.0, 808.0, 36.0], nWIkZfjICG, 5760521]
[paragraph, [218.0, 799.0, 808.0, 36.0], nWIkZfjICG, 5760521]
[paragraph, [218.0, 835.0, 808.0, 36.0], nWIkZfjICG, 5760521]
[paragraph, [218.0, 871.0, 808.0, 36.0], nWIkZfjICG, 5760521]
[paragraph, [218.0, 907.0, 808.0, 36.0], nWIkZfjICG, 5760521]
[section-title, [502.0, 960.0, 243.0, 49.5], qR6lH4oOT6, 5760521]
[paragraph, [293.0, 1016.0, 614.0, 36.0], WjMY4fphkk, 5760521]
[paragraph, [293.0, 1052.0, 614.0, 36.0], WjMY4fphkk, 5760521]
[paragraph, [293.0, 1088.0, 614.0, 36.0], WjMY4fphkk, 5760521]
[paragraph, [293.0, 1124.0, 614.0, 36.0], WjMY4fphkk, 5760521]
[paragraph, [293.0, 1160.0, 614.0, 36.0], WjMY4fphkk, 5760521]
[paragraph, [293.0, 1196.0, 614.0, 36.0], WjMY4fphkk, 5760521]
[paragraph, [293.0, 1261.0, 653.0, 36.0], c2oXzkWLq1, 5760521]
[paragraph, [297.0, 1297.0, 505.0, 36.0], Ng_CQHFsSX, 5760521]
[paragraph, [218.0, 1376.0, 806.0, 36.0], 3KeGaldyVi, 5760521]
[paragraph, [218.0, 1412.0, 806.0, 36.0], 3KeGaldyVi, 5760521]
[paragraph, [218.0, 1448.0, 806.0, 36.0], 3KeGaldyVi, 5760521]
[paragraph, [218.0, 1484.0, 806.0, 36.0], 3KeGaldyVi, 5760521]
[paragraph, [218.0, 1520.0, 806.0, 36.0], 3KeGaldyVi, 5760521]
[paragraph, [218.0, 1556.0, 806.0, 36.0], 3KeGaldyVi, 5760521]
