[842, 595]
[folio, [353.0, 63.0, 96.0, 18.0], PXDwpEmJuh, 5768122]
[paragraph, [185.0, 103.0, 143.0, 18.0], TmwYHVdQWk, 5768122]
[paragraph, [56.0, 123.0, 271.0, 18.0], BlLUOn5-Bw, 5768122]
[paragraph, [56.0, 141.0, 271.0, 18.0], BlLUOn5-Bw, 5768122]
[paragraph, [56.0, 159.0, 271.0, 18.0], BlLUOn5-Bw, 5768122]
[paragraph, [160.0, 197.0, 165.0, 18.0], h3Py8V2u9s, 5768122]
[paragraph, [54.0, 215.0, 272.0, 18.0], kuyMsGlrwA, 5768122]
[paragraph, [54.0, 233.0, 272.0, 18.0], kuyMsGlrwA, 5768122]
[paragraph, [54.0, 251.0, 272.0, 18.0], kuyMsGlrwA, 5768122]
[paragraph, [57.0, 267.0, 480.0, 18.0], -cUdiGDZFZ, 5768122]
[paragraph, [57.0, 285.0, 480.0, 18.0], -cUdiGDZFZ, 5768122]
[paragraph, [57.0, 303.0, 480.0, 18.0], -cUdiGDZFZ, 5768122]
[paragraph, [334.0, 327.0, 204.0, 18.0], fNWf5QOAw2, 5768122]
[paragraph, [226.0, 345.0, 311.0, 18.0], 4CD62nOqg4, 5768122]
[paragraph, [226.0, 363.0, 311.0, 18.0], 4CD62nOqg4, 5768122]
[paragraph, [226.0, 379.0, 312.0, 18.0], 5BSod_MJRM, 5768122]
[paragraph, [226.0, 397.0, 312.0, 18.0], 5BSod_MJRM, 5768122]
[paragraph, [226.0, 415.0, 312.0, 18.0], 5BSod_MJRM, 5768122]
[paragraph, [226.0, 433.0, 312.0, 18.0], 5BSod_MJRM, 5768122]
[paragraph, [226.0, 451.0, 312.0, 18.0], 5BSod_MJRM, 5768122]
[paragraph, [226.0, 469.0, 312.0, 18.0], 5BSod_MJRM, 5768122]
[paragraph, [226.0, 487.0, 312.0, 18.0], 5BSod_MJRM, 5768122]
[paragraph, [313.0, 509.0, 226.0, 18.0], zCryIGYDSt, 5768122]
[paragraph, [224.0, 528.0, 315.0, 18.0], dr_uKUNfh-, 5768122]
[paragraph, [56.0, 545.0, 483.0, 18.0], VZAn8SAAkA, 5768122]
[paragraph, [56.0, 563.0, 483.0, 18.0], VZAn8SAAkA, 5768122]
[paragraph, [56.0, 581.0, 483.0, 18.0], VZAn8SAAkA, 5768122]
[website-link, [339.0, 648.0, 200.0, 18.0], qpFFQTQQV3, 5768122]
[contact-info, [376.0, 669.0, 129.0, 18.0], sejzaZv6D1, 5768122]
[contact-info, [376.0, 687.0, 129.0, 18.0], sejzaZv6D1, 5768122]
[contact-info, [376.0, 705.0, 129.0, 18.0], sejzaZv6D1, 5768122]
[footnote, [335.0, 742.0, 187.0, 18.0], 0ikMq5i61U, 5768122]
[footnote, [335.0, 760.0, 187.0, 18.0], 0ikMq5i61U, 5768122]
