[842, 595]
[folio, [78.0, 6.0, 432.0, 18.0], WCnuDFx0vz, 5659907]
[contact-info, [217.0, 56.0, 183.0, 18.0], xSEijq10A8, 5659907]
[contact-info, [217.0, 74.0, 183.0, 18.0], xSEijq10A8, 5659907]
[section-title, [266.0, 100.0, 92.0, 30.0], dy0ZvANX5v, 5659907]
[sidebar, [439.0, 135.0, 69.0, 18.0], shoonya_4s94FVTSK6LBX8, 5659907]
[sidebar, [74.0, 137.0, 72.0, 18.0], gHsgx9NKCQ, 5659907]
[sidebar, [439.0, 157.0, 68.0, 18.0], shoonya_2s50MOH1KISQTK, 5659907]
[paragraph, [74.0, 191.0, 383.0, 18.0], SQ6s9hHA-f, 5659907]
[second-level-question, [80.0, 312.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 330.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 348.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 366.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 384.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 402.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 420.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 438.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [80.0, 456.0, 465.0, 18.0], shoonya_0sQYZ24X8X42HY, 5659907]
[second-level-question, [78.0, 502.0, 359.0, 18.0], QTgy1ip-5R, 5659907]
[second-level-question, [78.0, 520.0, 359.0, 18.0], QTgy1ip-5R, 5659907]
[second-level-question, [78.0, 538.0, 359.0, 18.0], QTgy1ip-5R, 5659907]
[second-level-question, [78.0, 556.0, 359.0, 18.0], QTgy1ip-5R, 5659907]
[options, [82.0, 521.0, 168.0, 18.0], cszV7yGkMQ, 5659907]
[options, [82.0, 539.0, 168.0, 18.0], cszV7yGkMQ, 5659907]
[options, [82.0, 557.0, 168.0, 18.0], cszV7yGkMQ, 5659907]
[second-level-question, [74.0, 597.0, 296.0, 18.0], uxezKf4D_1, 5659907]
[second-level-question, [74.0, 615.0, 296.0, 18.0], uxezKf4D_1, 5659907]
[second-level-question, [74.0, 633.0, 296.0, 18.0], uxezKf4D_1, 5659907]
[second-level-question, [74.0, 651.0, 296.0, 18.0], uxezKf4D_1, 5659907]
[options, [81.0, 618.0, 111.0, 18.0], sY1gf1JO3y, 5659907]
[options, [81.0, 636.0, 111.0, 18.0], sY1gf1JO3y, 5659907]
[options, [81.0, 654.0, 111.0, 18.0], sY1gf1JO3y, 5659907]
[second-level-question, [71.0, 696.0, 277.0, 18.0], bkPIwCVqd1, 5659907]
[second-level-question, [71.0, 714.0, 277.0, 18.0], bkPIwCVqd1, 5659907]
[second-level-question, [71.0, 732.0, 277.0, 18.0], bkPIwCVqd1, 5659907]
[options, [79.0, 717.0, 209.0, 18.0], shoonya_3sWX1KXBHB44HJ, 5659907]
[options, [79.0, 735.0, 209.0, 18.0], shoonya_3sWX1KXBHB44HJ, 5659907]
[folio, [5.0, 792.0, 576.0, 18.0], JL7vI0U3Gt, 5659907]
