[1755, 1240]
[paragraph, [138.0, 191.0, 966.0, 36.0], shoonya_5sDRN9Y98CQJ71, 5729227]
[paragraph, [196.0, 231.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 267.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 303.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 339.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 375.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 411.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 447.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 483.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 519.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 555.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 591.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [196.0, 627.0, 909.0, 36.0], VjdFzH2KJD, 5729227]
[paragraph, [200.0, 673.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 709.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 745.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 781.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 817.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 853.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 889.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 925.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 961.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 997.0, 898.0, 36.0], shoonya_1sNCRLS8LRLTI9, 5729227]
[paragraph, [200.0, 1051.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1087.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1123.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1159.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1195.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1231.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1267.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1303.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1339.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1375.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1411.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1447.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
[paragraph, [200.0, 1483.0, 896.0, 36.0], shoonya_0sJZHDPS1M50VS, 5729227]
