[842, 595]
[paragraph, [53.0, 48.0, 490.0, 18.0], shoonya_1sFXCSONX3Q72U, 5738198]
[paragraph, [53.0, 66.0, 490.0, 18.0], shoonya_1sFXCSONX3Q72U, 5738198]
[paragraph, [53.0, 84.0, 490.0, 18.0], shoonya_1sFXCSONX3Q72U, 5738198]
[sidebar, [538.0, 253.0, 32.0, 18.0], _baeGtovHq, 5738198]
[paragraph, [62.0, 461.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 479.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 497.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 515.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 533.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 551.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 569.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 587.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 605.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 623.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 641.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 659.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 677.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 695.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 713.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[paragraph, [62.0, 731.0, 485.0, 18.0], shoonya_0sLGK6C80ZW786, 5738198]
[folio, [501.0, 777.0, 69.0, 18.0], shoonya_2s8G4L9TQ5QVQK, 5738198]
[folio, [28.0, 778.0, 229.0, 18.0], 29g5ss0SGS, 5738198]
