[1650, 1275]
[options, [184.0, 114.0, 140.0, 36.0], lwF7WwXii_, 6475935]
[options, [184.0, 150.0, 140.0, 36.0], lwF7WwXii_, 6475935]
[options, [184.0, 186.0, 140.0, 36.0], lwF7WwXii_, 6475935]
[options, [184.0, 222.0, 140.0, 36.0], lwF7WwXii_, 6475935]
[options, [186.0, 373.0, 168.0, 36.0], 7frLE6LnCJ, 6475935]
[options, [186.0, 409.0, 168.0, 36.0], 7frLE6LnCJ, 6475935]
[options, [186.0, 445.0, 168.0, 36.0], 7frLE6LnCJ, 6475935]
[options, [186.0, 481.0, 168.0, 36.0], 7frLE6LnCJ, 6475935]
[options, [186.0, 517.0, 168.0, 36.0], 7frLE6LnCJ, 6475935]
[options, [188.0, 644.0, 215.0, 36.0], uNTbUHj4dX, 6475935]
[options, [188.0, 680.0, 215.0, 36.0], uNTbUHj4dX, 6475935]
[options, [188.0, 716.0, 215.0, 36.0], uNTbUHj4dX, 6475935]
[options, [188.0, 752.0, 215.0, 36.0], uNTbUHj4dX, 6475935]
[options, [188.0, 788.0, 215.0, 36.0], uNTbUHj4dX, 6475935]
[options, [198.0, 903.0, 143.0, 36.0], shoonya_0sF4KQJYTP0EAX, 6475935]
[options, [198.0, 939.0, 143.0, 36.0], shoonya_0sF4KQJYTP0EAX, 6475935]
[options, [198.0, 975.0, 143.0, 36.0], shoonya_0sF4KQJYTP0EAX, 6475935]
[options, [198.0, 1011.0, 143.0, 36.0], shoonya_0sF4KQJYTP0EAX, 6475935]
[options, [198.0, 1047.0, 143.0, 36.0], shoonya_0sF4KQJYTP0EAX, 6475935]
[folio, [129.0, 1127.0, 103.0, 36.0], nHYVNBUvvi, 6475935]
[paragraph, [98.0, 1205.0, 1078.0, 36.0], G1Mzliqndb, 6475935]
[paragraph, [98.0, 1241.0, 1078.0, 36.0], G1Mzliqndb, 6475935]
[paragraph, [98.0, 1277.0, 1078.0, 36.0], G1Mzliqndb, 6475935]
[paragraph, [98.0, 1313.0, 1078.0, 36.0], G1Mzliqndb, 6475935]
[paragraph, [98.0, 1349.0, 1078.0, 36.0], G1Mzliqndb, 6475935]
[paragraph, [98.0, 1410.0, 1077.0, 36.0], 9p6oqEp4vo, 6475935]
[paragraph, [98.0, 1446.0, 1077.0, 36.0], 9p6oqEp4vo, 6475935]
[paragraph, [98.0, 1482.0, 1077.0, 36.0], 9p6oqEp4vo, 6475935]
[paragraph, [98.0, 1518.0, 1077.0, 36.0], 9p6oqEp4vo, 6475935]
