[1755, 1240]
[paragraph, [110.0, 10.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [110.0, 46.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [110.0, 82.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [110.0, 118.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [110.0, 154.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [110.0, 190.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [110.0, 226.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [110.0, 262.0, 1119.0, 36.0], MOe72Gq0fG, 6475760]
[paragraph, [113.0, 313.0, 1111.0, 36.0], 9v6HWc_CwO, 6475760]
[paragraph, [113.0, 349.0, 1111.0, 36.0], 9v6HWc_CwO, 6475760]
[paragraph, [113.0, 403.0, 1111.0, 36.0], cDbXRvOEtb, 6475760]
[paragraph, [113.0, 439.0, 1111.0, 36.0], cDbXRvOEtb, 6475760]
[options, [105.0, 562.0, 210.0, 36.0], XBmQw1KeaR, 6475760]
[options, [105.0, 598.0, 210.0, 36.0], XBmQw1KeaR, 6475760]
[options, [105.0, 634.0, 210.0, 36.0], XBmQw1KeaR, 6475760]
[options, [105.0, 670.0, 210.0, 36.0], XBmQw1KeaR, 6475760]
[options, [105.0, 706.0, 210.0, 36.0], XBmQw1KeaR, 6475760]
[options, [18.0, 773.0, 1212.0, 36.0], FCeDmz3d_5, 6475760]
[options, [18.0, 809.0, 1212.0, 36.0], FCeDmz3d_5, 6475760]
[options, [18.0, 845.0, 1212.0, 36.0], FCeDmz3d_5, 6475760]
[options, [18.0, 881.0, 1212.0, 36.0], FCeDmz3d_5, 6475760]
[sidebar, [17.0, 967.0, 1216.0, 36.0], QoeTE1DufC, 6475760]
[sidebar, [17.0, 1003.0, 1216.0, 36.0], QoeTE1DufC, 6475760]
[sidebar, [17.0, 1039.0, 1216.0, 36.0], QoeTE1DufC, 6475760]
[sidebar, [17.0, 1075.0, 1216.0, 36.0], QoeTE1DufC, 6475760]
[sidebar, [17.0, 1111.0, 1216.0, 36.0], QoeTE1DufC, 6475760]
[paragraph, [110.0, 1189.0, 824.0, 36.0], oXPnBOI9oR, 6475760]
[paragraph, [110.0, 1244.0, 1119.0, 36.0], wzYnp86S7e, 6475760]
[paragraph, [110.0, 1280.0, 1119.0, 36.0], wzYnp86S7e, 6475760]
[paragraph, [108.0, 1333.0, 1119.0, 36.0], 5k2VZoUITU, 6475760]
[paragraph, [108.0, 1369.0, 1119.0, 36.0], 5k2VZoUITU, 6475760]
[paragraph, [108.0, 1405.0, 1119.0, 36.0], 5k2VZoUITU, 6475760]
[paragraph, [108.0, 1441.0, 1119.0, 36.0], 5k2VZoUITU, 6475760]
[paragraph, [108.0, 1477.0, 1119.0, 36.0], 5k2VZoUITU, 6475760]
[paragraph, [110.0, 1551.0, 1117.0, 36.0], G9JvkeBYWF, 6475760]
[paragraph, [110.0, 1587.0, 1117.0, 36.0], G9JvkeBYWF, 6475760]
[paragraph, [110.0, 1623.0, 1117.0, 36.0], G9JvkeBYWF, 6475760]
[paragraph, [110.0, 1659.0, 1117.0, 36.0], G9JvkeBYWF, 6475760]
[paragraph, [110.0, 1695.0, 1117.0, 36.0], G9JvkeBYWF, 6475760]
