[1754, 1240]
[options, [114.0, 153.0, 671.0, 36.0], dR7Y7S9dln, 6476148]
[options, [114.0, 189.0, 671.0, 36.0], dR7Y7S9dln, 6476148]
[options, [114.0, 225.0, 671.0, 36.0], dR7Y7S9dln, 6476148]
[options, [114.0, 261.0, 671.0, 36.0], dR7Y7S9dln, 6476148]
[options, [114.0, 297.0, 671.0, 36.0], dR7Y7S9dln, 6476148]
[paragraph, [110.0, 427.0, 1000.0, 36.0], RZUQ4Njp1u, 6476148]
[paragraph, [110.0, 463.0, 1000.0, 36.0], RZUQ4Njp1u, 6476148]
[paragraph, [110.0, 499.0, 1000.0, 36.0], RZUQ4Njp1u, 6476148]
[paragraph, [110.0, 535.0, 1000.0, 36.0], RZUQ4Njp1u, 6476148]
[paragraph, [110.0, 571.0, 1000.0, 36.0], RZUQ4Njp1u, 6476148]
[paragraph, [110.0, 607.0, 1000.0, 36.0], RZUQ4Njp1u, 6476148]
[paragraph, [111.0, 687.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [111.0, 723.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [111.0, 759.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [111.0, 795.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [111.0, 831.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [111.0, 867.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [111.0, 903.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [111.0, 939.0, 996.0, 36.0], QvgR5WcqkO, 6476148]
[paragraph, [106.0, 993.0, 1001.0, 36.0], r36_Q-j6Ts, 6476148]
[paragraph, [106.0, 1029.0, 1001.0, 36.0], r36_Q-j6Ts, 6476148]
[paragraph, [106.0, 1065.0, 1001.0, 36.0], r36_Q-j6Ts, 6476148]
[paragraph, [106.0, 1101.0, 1001.0, 36.0], r36_Q-j6Ts, 6476148]
[paragraph, [106.0, 1137.0, 1001.0, 36.0], r36_Q-j6Ts, 6476148]
[paragraph, [108.0, 1213.0, 1002.0, 36.0], fyTvdrwdNd, 6476148]
[paragraph, [108.0, 1249.0, 1002.0, 36.0], fyTvdrwdNd, 6476148]
[paragraph, [108.0, 1285.0, 1002.0, 36.0], fyTvdrwdNd, 6476148]
[paragraph, [108.0, 1321.0, 1002.0, 36.0], fyTvdrwdNd, 6476148]
[paragraph, [108.0, 1357.0, 1002.0, 36.0], fyTvdrwdNd, 6476148]
[paragraph, [108.0, 1393.0, 1002.0, 36.0], fyTvdrwdNd, 6476148]
[paragraph, [111.0, 1475.0, 995.0, 36.0], zLoxSXd-U6, 6476148]
[paragraph, [111.0, 1511.0, 995.0, 36.0], zLoxSXd-U6, 6476148]
