[842, 595]
[options, [79.0, 113.0, 313.0, 18.0], z5OoyoOgJ1, 5747707]
[options, [79.0, 131.0, 313.0, 18.0], z5OoyoOgJ1, 5747707]
[options, [81.0, 177.0, 452.0, 18.0], iMKXD8AIbE, 5747707]
[options, [81.0, 195.0, 452.0, 18.0], iMKXD8AIbE, 5747707]
[options, [84.0, 245.0, 305.0, 18.0], db0ESKMuek, 5747707]
[options, [84.0, 263.0, 305.0, 18.0], db0ESKMuek, 5747707]
[options, [84.0, 335.0, 295.0, 18.0], r83DEZciTc, 5747707]
[section-title, [82.0, 378.0, 473.0, 30.0], 71DL5YH33q, 5747707]
[options, [84.0, 437.0, 300.0, 18.0], 95128DmwPg, 5747707]
[options, [82.0, 505.0, 284.0, 18.0], qun9Prdqc9, 5747707]
[options, [82.0, 523.0, 284.0, 18.0], qun9Prdqc9, 5747707]
[options, [82.0, 541.0, 284.0, 18.0], qun9Prdqc9, 5747707]
[options, [82.0, 559.0, 284.0, 18.0], qun9Prdqc9, 5747707]
[options, [79.0, 608.0, 356.0, 18.0], S2-iBnQGoo, 5747707]
[options, [79.0, 626.0, 356.0, 18.0], S2-iBnQGoo, 5747707]
[options, [77.0, 675.0, 281.0, 18.0], 1SbcoZH6Qf, 5747707]
[options, [77.0, 693.0, 281.0, 18.0], 1SbcoZH6Qf, 5747707]
[folio, [472.0, 724.0, 65.0, 18.0], mJXnoGqhkA, 5747707]
