[842, 595]
[options, [368.0, 69.0, 97.0, 18.0], shoonya_1sSHDATL793FW9, 5757519]
[options, [368.0, 87.0, 97.0, 18.0], shoonya_1sSHDATL793FW9, 5757519]
[options, [124.0, 92.0, 105.0, 18.0], KGio2AmJjZ, 5757519]
[options, [124.0, 110.0, 105.0, 18.0], KGio2AmJjZ, 5757519]
[options, [124.0, 128.0, 105.0, 18.0], KGio2AmJjZ, 5757519]
[options, [124.0, 146.0, 105.0, 18.0], KGio2AmJjZ, 5757519]
[options, [365.0, 177.0, 107.0, 18.0], vAoGlHY4wr, 5757519]
[options, [365.0, 195.0, 107.0, 18.0], vAoGlHY4wr, 5757519]
[options, [365.0, 213.0, 107.0, 18.0], vAoGlHY4wr, 5757519]
[options, [365.0, 231.0, 107.0, 18.0], vAoGlHY4wr, 5757519]
[options, [125.0, 246.0, 101.0, 18.0], shoonya_5s6ZKEMKNHVIJ8, 5757519]
[options, [125.0, 264.0, 101.0, 18.0], shoonya_5s6ZKEMKNHVIJ8, 5757519]
[options, [125.0, 282.0, 101.0, 18.0], shoonya_5s6ZKEMKNHVIJ8, 5757519]
[options, [125.0, 300.0, 101.0, 18.0], shoonya_5s6ZKEMKNHVIJ8, 5757519]
[options, [368.0, 328.0, 107.0, 18.0], shoonya_9sWUD6XWMH0FHE, 5757519]
[options, [368.0, 346.0, 107.0, 18.0], shoonya_9sWUD6XWMH0FHE, 5757519]
[options, [368.0, 364.0, 107.0, 18.0], shoonya_9sWUD6XWMH0FHE, 5757519]
[options, [368.0, 382.0, 107.0, 18.0], shoonya_9sWUD6XWMH0FHE, 5757519]
[options, [368.0, 400.0, 107.0, 18.0], shoonya_9sWUD6XWMH0FHE, 5757519]
[options, [117.0, 400.0, 74.0, 18.0], HRYu-0CiXo, 5757519]
[options, [117.0, 418.0, 74.0, 18.0], HRYu-0CiXo, 5757519]
[options, [117.0, 436.0, 74.0, 18.0], HRYu-0CiXo, 5757519]
[options, [117.0, 454.0, 74.0, 18.0], HRYu-0CiXo, 5757519]
[options, [117.0, 472.0, 74.0, 18.0], HRYu-0CiXo, 5757519]
[options, [362.0, 505.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 523.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 541.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 559.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 577.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 595.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 613.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 631.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 649.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [362.0, 667.0, 157.0, 18.0], SBpfjOZUJT, 5757519]
[options, [125.0, 552.0, 54.0, 18.0], shoonya_0sUVXQKRG4IO8P, 5757519]
[options, [125.0, 570.0, 54.0, 18.0], shoonya_0sUVXQKRG4IO8P, 5757519]
[options, [125.0, 588.0, 54.0, 18.0], shoonya_0sUVXQKRG4IO8P, 5757519]
[options, [125.0, 606.0, 54.0, 18.0], shoonya_0sUVXQKRG4IO8P, 5757519]
[options, [125.0, 624.0, 54.0, 18.0], shoonya_0sUVXQKRG4IO8P, 5757519]
[options, [125.0, 732.0, 115.0, 18.0], shoonya_4s1QHIN55BQG1C, 5757519]
[options, [125.0, 750.0, 115.0, 18.0], shoonya_4s1QHIN55BQG1C, 5757519]
[options, [361.0, 734.0, 94.0, 18.0], q4QVrv17Hj, 5757519]
[options, [361.0, 752.0, 94.0, 18.0], q4QVrv17Hj, 5757519]
[footnote, [122.0, 790.0, 350.0, 18.0], V8exLrTxmu, 5757519]
