[595, 420]
[folio, [88.0, 30.0, 256.0, 18.0], shoonya_0sGTEJC1E9CPBG, 6466331]
[folio, [137.0, 54.0, 158.0, 18.0], 3dGKztGAD6, 6466331]
[sidebar, [36.0, 79.0, 102.0, 18.0], m7XgXzxNjV, 6466331]
[sidebar, [326.0, 84.0, 66.0, 18.0], AF17eV4obS, 6466331]
[sidebar, [330.0, 108.0, 58.0, 18.0], PtB6oIviCb, 6466331]
[second-level-question, [53.0, 128.0, 233.0, 18.0], q6HfSR5OHV, 6466331]
[second-level-question, [52.0, 170.0, 231.0, 18.0], a8K5wHKS6x, 6466331]
[second-level-question, [49.0, 230.0, 331.0, 18.0], hJY14erWM0, 6466331]
[second-level-question, [49.0, 290.0, 265.0, 18.0], r9yWLGgUQ3, 6466331]
[second-level-question, [46.0, 352.0, 213.0, 18.0], a2-pZncJZ_, 6466331]
[sidebar, [331.0, 374.0, 49.0, 18.0], 01pUFI4zZ1, 6466331]
[second-level-question, [52.0, 395.0, 333.0, 18.0], mOKs79BrqF, 6466331]
[second-level-question, [48.0, 435.0, 330.0, 18.0], Wzx44ypCM_, 6466331]
[second-level-question, [50.0, 474.0, 217.0, 18.0], G_hULpwhOQ, 6466331]
[second-level-question, [45.0, 516.0, 196.0, 18.0], PauG-21DJi, 6466331]
