[796, 591]
[folio, [56.0, 89.0, 60.0, 18.0], ps8ltLFY76, 6465514]
[folio, [216.0, 107.0, 158.0, 18.0], w0bUR6yZNx, 6465514]
[folio, [216.0, 125.0, 158.0, 18.0], w0bUR6yZNx, 6465514]
[sidebar, [484.0, 107.0, 71.0, 18.0], NbwA7SGxLe, 6465514]
[sidebar, [484.0, 125.0, 71.0, 18.0], NbwA7SGxLe, 6465514]
[sidebar, [488.0, 158.0, 67.0, 18.0], 0Ze9gGFNTB, 6465514]
[folio, [270.0, 163.0, 63.0, 18.0], s8kqUDWVSk, 6465514]
[paragraph, [49.0, 199.0, 508.0, 18.0], sdi18zV4X1, 6465514]
[paragraph, [49.0, 217.0, 508.0, 18.0], sdi18zV4X1, 6465514]
[placeholder-text, [48.0, 280.0, 509.0, 18.0], ekOaMDJrXo, 6465514]
[placeholder-text, [48.0, 298.0, 509.0, 18.0], ekOaMDJrXo, 6465514]
[placeholder-text, [48.0, 316.0, 509.0, 18.0], ekOaMDJrXo, 6465514]
[placeholder-text, [48.0, 334.0, 509.0, 18.0], ekOaMDJrXo, 6465514]
[placeholder-text, [48.0, 352.0, 509.0, 18.0], ekOaMDJrXo, 6465514]
[placeholder-text, [48.0, 370.0, 509.0, 18.0], ekOaMDJrXo, 6465514]
[placeholder-text, [47.0, 441.0, 509.0, 18.0], Q3rQHXh0mO, 6465514]
[placeholder-text, [47.0, 459.0, 509.0, 18.0], Q3rQHXh0mO, 6465514]
[placeholder-text, [47.0, 477.0, 509.0, 18.0], Q3rQHXh0mO, 6465514]
[placeholder-text, [47.0, 495.0, 509.0, 18.0], Q3rQHXh0mO, 6465514]
[placeholder-text, [47.0, 513.0, 509.0, 18.0], Q3rQHXh0mO, 6465514]
[placeholder-text, [47.0, 531.0, 509.0, 18.0], Q3rQHXh0mO, 6465514]
[placeholder-text, [47.0, 549.0, 509.0, 18.0], Q3rQHXh0mO, 6465514]
[placeholder-text, [46.0, 629.0, 510.0, 18.0], I76BNERFuy, 6465514]
[placeholder-text, [46.0, 647.0, 510.0, 18.0], I76BNERFuy, 6465514]
[placeholder-text, [46.0, 665.0, 510.0, 18.0], I76BNERFuy, 6465514]
[placeholder-text, [46.0, 683.0, 510.0, 18.0], I76BNERFuy, 6465514]
[placeholder-text, [46.0, 701.0, 510.0, 18.0], I76BNERFuy, 6465514]
[placeholder-text, [46.0, 719.0, 510.0, 18.0], I76BNERFuy, 6465514]
