[798, 594]
[folio, [60.0, 92.0, 65.0, 18.0], FqdNoifGpe, 6465127]
[placeholder-text, [55.0, 211.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 229.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 247.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 265.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 283.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 301.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 319.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 337.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 355.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 373.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 391.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 409.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 427.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 445.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 463.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 481.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 499.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 517.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 535.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 553.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 571.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 589.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 607.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 625.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 643.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 661.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 679.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 697.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
[placeholder-text, [55.0, 715.0, 506.0, 18.0], zqIHd6sO2X, 6465127]
