[842, 596]
[placeholder-text, [6.0, 105.0, 582.0, 18.0], shoonya_1sVEAN5QOO512I, 5764875]
[placeholder-text, [6.0, 123.0, 582.0, 18.0], shoonya_1sVEAN5QOO512I, 5764875]
[placeholder-text, [6.0, 141.0, 582.0, 18.0], shoonya_1sVEAN5QOO512I, 5764875]
[placeholder-text, [6.0, 159.0, 582.0, 18.0], shoonya_1sVEAN5QOO512I, 5764875]
[placeholder-text, [6.0, 177.0, 582.0, 18.0], shoonya_1sVEAN5QOO512I, 5764875]
[placeholder-text, [6.0, 195.0, 582.0, 18.0], shoonya_1sVEAN5QOO512I, 5764875]
[placeholder-text, [6.0, 213.0, 582.0, 18.0], shoonya_1sVEAN5QOO512I, 5764875]
[placeholder-text, [6.0, 306.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 324.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 342.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 360.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 378.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 396.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 414.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 432.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 450.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 468.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 486.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 504.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 522.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 540.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 558.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 576.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 594.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 612.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 630.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 648.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 666.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 684.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[placeholder-text, [6.0, 702.0, 578.0, 18.0], shoonya_2sLBNE1XYVWB1X, 5764875]
[folio, [62.0, 740.0, 58.0, 18.0], shoonya_28s3ZJV23KZBT9, 5764875]
[folio, [487.0, 742.0, 52.0, 18.0], shoonya_18s0GEUACZKKWQ, 5764875]
