[2200, 1700]
[paragraph, [271.0, 222.0, 1142.0, 36.0], shoonya_2sLDK35TK0XVF1, 5687234]
[paragraph, [271.0, 258.0, 1142.0, 36.0], shoonya_2sLDK35TK0XVF1, 5687234]
[paragraph, [271.0, 294.0, 1142.0, 36.0], shoonya_2sLDK35TK0XVF1, 5687234]
[paragraph, [271.0, 330.0, 1142.0, 36.0], shoonya_2sLDK35TK0XVF1, 5687234]
[paragraph, [387.0, 402.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 438.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 474.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 510.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 546.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 582.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 618.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 654.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [387.0, 690.0, 909.0, 36.0], shoonya_3sSOOPGBVL94SJ, 5687234]
[paragraph, [501.0, 761.0, 532.0, 36.0], shoonya_5sWLAVN8SXDOLI, 5687234]
[paragraph, [501.0, 797.0, 532.0, 36.0], shoonya_5sWLAVN8SXDOLI, 5687234]
[paragraph, [501.0, 833.0, 532.0, 36.0], shoonya_5sWLAVN8SXDOLI, 5687234]
[paragraph, [401.0, 913.0, 896.0, 36.0], edfsMFK09h, 5687234]
[paragraph, [401.0, 949.0, 896.0, 36.0], edfsMFK09h, 5687234]
[paragraph, [401.0, 985.0, 896.0, 36.0], edfsMFK09h, 5687234]
[paragraph, [401.0, 1021.0, 896.0, 36.0], edfsMFK09h, 5687234]
[reference, [1169.0, 1093.0, 122.0, 36.0], 2zs06u5FsB, 5687234]
[paragraph, [397.0, 1095.0, 758.0, 36.0], 9T_M1N1TYE, 5687234]
[reference, [393.0, 1190.0, 126.0, 36.0], P-Ty0RGEn8, 5687234]
[paragraph, [277.0, 1276.0, 1139.0, 36.0], shoonya_4sRB79IRFLMF9Q, 5687234]
[paragraph, [277.0, 1312.0, 1139.0, 36.0], shoonya_4sRB79IRFLMF9Q, 5687234]
[paragraph, [277.0, 1348.0, 1139.0, 36.0], shoonya_4sRB79IRFLMF9Q, 5687234]
[paragraph, [277.0, 1384.0, 1139.0, 36.0], shoonya_4sRB79IRFLMF9Q, 5687234]
[paragraph, [277.0, 1420.0, 1139.0, 36.0], shoonya_4sRB79IRFLMF9Q, 5687234]
[paragraph, [277.0, 1456.0, 1139.0, 36.0], shoonya_4sRB79IRFLMF9Q, 5687234]
[paragraph, [397.0, 1551.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1587.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1623.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1659.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1695.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1731.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1767.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1803.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1839.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1875.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
[paragraph, [397.0, 1911.0, 900.0, 36.0], shoonya_0sI42PGF9C4YMG, 5687234]
