[2339, 1653]
[paragraph, [251.0, 246.0, 1152.0, 36.0], shoonya_3sR87MK11TGPWX, 5686023]
[paragraph, [251.0, 282.0, 1152.0, 36.0], shoonya_3sR87MK11TGPWX, 5686023]
[paragraph, [251.0, 318.0, 1152.0, 36.0], shoonya_3sR87MK11TGPWX, 5686023]
[paragraph, [248.0, 386.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 422.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 458.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 494.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 530.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 566.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 602.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 638.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 674.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 710.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 746.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 782.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [248.0, 818.0, 1158.0, 36.0], shoonya_1sRNA6E6R23XTD, 5686023]
[paragraph, [244.0, 869.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 905.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 941.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 977.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1013.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1049.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1085.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1121.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1157.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1193.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1229.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1265.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1301.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1337.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1373.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1409.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1445.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [244.0, 1481.0, 1161.0, 36.0], shoonya_0sPKQR7P94U232, 5686023]
[paragraph, [245.0, 1564.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1600.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1636.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1672.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1708.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1744.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1780.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1816.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1852.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1888.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1924.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1960.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
[paragraph, [245.0, 1996.0, 1162.0, 36.0], shoonya_2sDDWCM1CSXNFJ, 5686023]
