[2339, 1653]
[paragraph, [248.0, 245.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 281.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 317.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 353.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 389.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 425.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 461.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 497.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 533.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 569.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 605.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 641.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 677.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 713.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 749.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 785.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 821.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 857.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 893.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 929.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 965.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[paragraph, [248.0, 1001.0, 1156.0, 36.0], shoonya_0sD8O1QRJR867H, 5686194]
[section-title, [256.0, 1149.0, 691.0, 52.5], shoonya_2sVB59W2YAVBKU, 5686194]
[paragraph, [247.0, 1219.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1255.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1291.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1327.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1363.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1399.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1435.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1471.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1507.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1543.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1579.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1615.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1651.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1687.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1723.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1759.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1795.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1831.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1867.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1903.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1939.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
[paragraph, [247.0, 1975.0, 1153.0, 36.0], shoonya_1sAO0YCSQIK9GU, 5686194]
