[2339, 1653]
[paragraph, [218.0, 195.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 231.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 267.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 303.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 339.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 375.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 411.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 447.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 483.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 519.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 555.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 591.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 627.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 663.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 699.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 735.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 771.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 807.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [218.0, 843.0, 1212.0, 36.0], shoonya_0sT3G7DAAWZ0HG, 5685957]
[paragraph, [290.0, 929.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[paragraph, [290.0, 965.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[paragraph, [290.0, 1001.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[paragraph, [290.0, 1037.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[paragraph, [290.0, 1073.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[paragraph, [290.0, 1109.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[paragraph, [290.0, 1145.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[paragraph, [290.0, 1181.0, 1069.0, 36.0], shoonya_4sD8KJ0N5JHYUK, 5685957]
[reference, [641.0, 1256.0, 710.0, 36.0], sFZ2HQp4rQ, 5685957]
[section-title, [227.0, 1333.0, 1147.0, 52.5], gWxsSMLBRb, 5685957]
[paragraph, [222.0, 1416.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1452.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1488.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1524.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1560.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1596.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1632.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1668.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1704.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1740.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1776.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1812.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1848.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1884.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1920.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1956.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 1992.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 2028.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
[paragraph, [222.0, 2064.0, 1207.0, 36.0], shoonya_1s04EHE5EQ00HT, 5685957]
