[2339, 1653]
[section-title, [325.0, 206.0, 143.0, 52.5], shoonya_0sI6T7HEOS7DTA, 5687524]
[paragraph, [480.0, 206.0, 946.0, 36.0], 3FOHj1FK69, 5687524]
[paragraph, [225.0, 284.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 320.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 356.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 392.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 428.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 464.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 500.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 536.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 572.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 608.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 644.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 680.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 716.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [225.0, 752.0, 1203.0, 36.0], 8CLE-ysH20, 5687524]
[paragraph, [295.0, 853.0, 1062.0, 36.0], shoonya_4sN0W4TSOHWJBQ, 5687524]
[paragraph, [295.0, 889.0, 1062.0, 36.0], shoonya_4sN0W4TSOHWJBQ, 5687524]
[paragraph, [295.0, 925.0, 1062.0, 36.0], shoonya_4sN0W4TSOHWJBQ, 5687524]
[paragraph, [295.0, 961.0, 1062.0, 36.0], shoonya_4sN0W4TSOHWJBQ, 5687524]
[paragraph, [295.0, 997.0, 1062.0, 36.0], shoonya_4sN0W4TSOHWJBQ, 5687524]
[reference, [779.0, 1087.0, 567.0, 36.0], shoonya_3sTT7LSSGVZ3O2, 5687524]
[paragraph, [219.0, 1180.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1216.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1252.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1288.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1324.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1360.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1396.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1432.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1468.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1504.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1540.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [219.0, 1576.0, 1211.0, 36.0], shoonya_1sNQM6H21CTH5B, 5687524]
[paragraph, [297.0, 1675.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[paragraph, [297.0, 1711.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[paragraph, [297.0, 1747.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[paragraph, [297.0, 1783.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[paragraph, [297.0, 1819.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[paragraph, [297.0, 1855.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[paragraph, [297.0, 1891.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[paragraph, [297.0, 1927.0, 1055.0, 36.0], shoonya_2s9HGN3NWK5CAB, 5687524]
[reference, [769.0, 2010.0, 578.0, 36.0], SiH_ezoSKf, 5687524]
