[1754, 1241]
[paragraph, [175.0, 299.0, 872.0, 36.0], shoonya_1sSQMO95JXN072, 5693150]
[paragraph, [175.0, 335.0, 872.0, 36.0], shoonya_1sSQMO95JXN072, 5693150]
[paragraph, [175.0, 371.0, 872.0, 36.0], shoonya_1sSQMO95JXN072, 5693150]
[paragraph, [175.0, 407.0, 872.0, 36.0], shoonya_1sSQMO95JXN072, 5693150]
[paragraph, [175.0, 443.0, 872.0, 36.0], shoonya_1sSQMO95JXN072, 5693150]
[paragraph, [231.0, 526.0, 773.0, 36.0], BULVaMvoKp, 5693150]
[paragraph, [387.0, 598.0, 447.0, 36.0], shoonya_3s4M8WHU0TOBLE, 5693150]
[paragraph, [387.0, 634.0, 447.0, 36.0], shoonya_3s4M8WHU0TOBLE, 5693150]
[paragraph, [387.0, 670.0, 447.0, 36.0], shoonya_3s4M8WHU0TOBLE, 5693150]
[paragraph, [387.0, 706.0, 447.0, 36.0], shoonya_3s4M8WHU0TOBLE, 5693150]
[paragraph, [389.0, 779.0, 295.0, 36.0], Wn0obleO0Z, 5693150]
[paragraph, [391.0, 826.0, 441.0, 36.0], l4GxIw-PXp, 5693150]
[paragraph, [391.0, 862.0, 441.0, 36.0], l4GxIw-PXp, 5693150]
[paragraph, [688.0, 905.0, 143.0, 36.0], jAFrAe9FOm, 5693150]
[paragraph, [230.0, 972.0, 521.0, 36.0], t_40W9zttU, 5693150]
[paragraph, [305.0, 1017.0, 359.0, 36.0], jQqBNM4DzZ, 5693150]
[paragraph, [400.0, 1080.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1116.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1152.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1188.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1224.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1260.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1296.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1332.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [400.0, 1368.0, 446.0, 36.0], shoonya_2sOH3W0N9VQFII, 5693150]
[paragraph, [701.0, 1415.0, 136.0, 36.0], AO9XPdc9vp, 5693150]
